name,status,finance_type,url
Joseph Paul Guerin,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qcer3bapq
Elizabeth Caruso,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcqe2xs2kmpmx55yd8j
Jedediah J. Rice,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zzprbfv8w
Gregory L. Swallow,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcrerstc7zysc3tmdah
Mark J. Blier,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcqe2xs2kmph41n7fy1
Ann Marie Fredericks,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcqe2xs2kmq0xamj5bj
Russell P. White,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw800xkb9rf7
Paul R Zimmerman,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8005dqc3vb
William Look,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kn03e7cgfcvr3bab9v667qyr
Craig Hickman,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdg9yraz62
Michael J. Lance,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qd29nz0j1
Gary Friedmann,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khrhbsjmej2b3nngc0pjyp3q
Allen Anthony Daggett,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qdf582ryp
Laurel Libby,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdh7enr653
Shukri Idris Abdirahman,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcqe2xs2kmpbxafd1x1
Laurie Osher,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7m1wzbfgsvdw68a98sd02h
Katrina J Smith,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcqe2xs2kmr2s9nqz2x
Reagan LeeAnn Paul,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcqe2xs2kmqs9y6wzh8
Marygrace Caroline Cimino,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcqe2xs2kmpp9sc46nv
Robert Granger,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7rsm5afr4sffcdrypqm3vx
Susan Jane Wiswell,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcrerstc7zyzn0zaqhw
Colby Michael Lapointe,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcqe2xs2kmqdca9byex
Daniel Jesse Newman,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcqe2xs2kmqq30wrvrb
Jeff Timberlake,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcrerstc7zytrcm6kxt
ROBERT W NUTTING,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcqe2xs2kmqqhee79sw
Bernard Robert Porter,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw803s9zw88e
Nathan J Wadsworth,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcrerstc7zyx3v9ayq9
