candidate,race,district,party,source,primary_result,show_on_page
alexander kenneth murchison,Governor,,Unenrolled,state,,no
andrew parker,Governor,,Unenrolled,state,,yes
angus s king iii,Governor,,Democrat,state,,yes
benjamin midgley,Governor,,Republican,state,,yes
david john jones,Governor,,Republican,state,,yes
derek allen levasseur,Governor,,Unenrolled,state,,yes
garrett paul mason,Governor,,Republican,state,,yes
hannah pingree,Governor,,Democrat,state,,yes
james libby,Governor,,Republican,state,,yes
jason cherry,Representative,38,Democrat,state,,yes
john michael glowa sr,Governor,,Unenrolled,state,,yes
jonathan bush,Governor,,Republican,state,,yes
kenneth a capron,Governor,,Republican,state,,no
kenneth forrest pinet,Governor,,Democratic,state,,no
nirav shah,Governor,,Democrat,state,,yes
owen mccarthy,Governor,,Republican,state,,yes
richard bennett,Governor,,Unenrolled,state,,yes
robert b charles,Governor,,Republican,state,,yes
robert j wessels,Governor,,Republican,state,,yes
shenna bellows,Governor,,Democrat,state,,yes
steven christopher sheppard,Governor,,Republican,state,,no
troy dale jackson,Governor,,Democrat,state,,yes
w edward crockett,Governor,,Unenrolled,state,,yes
lucien daigle,Senator,1,Republican,state,,yes
vaughn j mclaughlin,Senator,1,Democrat,state,,yes
harold hull,Senator,2,Democrat,state,,yes
harold trey l iii stewart,Senator,2,Republican,state,,yes
danny e costain,Senator,3,Republican,state,,yes
joel r stetkis,Senator,3,Republican,state,,yes
stanley short jr,Senator,3,Democrat,state,,yes
chad richard perkins,Senator,4,Republican,state,,yes
gregory pierce,Senator,4,Republican,state,,yes
joseph paul guerin,Senator,4,Republican,state,,yes
lisa kalp,Senator,4,Democrat,state,,yes
stacey k guerin,Senator,4,Republican,state,,no
zachary anders wood,Senator,4,Republican,state,,yes
elizabeth caruso,Senator,5,Republican,state,,yes
robert finch sullebarger,Senator,5,Democrat,state,,yes
aaron dana,Senator,6,Unenrolled,state,,yes
billy bob faulkingham,Senator,6,Republican,state,,yes
kenneth davis jr,Senator,6,Republican,state,,yes
cheryl hewes,Senator,7,Republican,state,,yes
nicole c grohoski,Senator,7,Democrat,state,,yes
leo christopher kenney,Senator,8,Republican,state,,yes
michael tipping,Senator,8,Democrat,state,,yes
amy j roeder,Senator,9,Democrat,state,,yes
joseph m baldacci,Senator,9,Democratic,state,,no
stephen carey,Senator,9,Unenrolled,state,,yes
david g haggan,Senator,10,Republican,state,,yes
kevin oconnell,Senator,10,Democrat,state,,yes
glenn chip curry,Senator,11,Democrat,state,,yes
ryan christopher otis,Senator,11,Republican,state,,yes
ann higgins matlack,Senator,12,Democrat,state,,yes
nicole lynn kalloch,Senator,12,Unenrolled,state,,yes
cameron reny,Senator,13,Democrat,state,,yes
edwin m mitchell,Senator,13,Unenrolled,state,,yes
craig v hickman,Senator,14,Democrat,state,,yes
steven mcgee,Senator,14,Republican,state,,yes
amanda heath,Senator,15,Democrat,state,,yes
kati l mccormick,Senator,15,Republican,state,,yes
patric moore,Senator,16,Democrat,state,,yes
scott w cyrway,Senator,16,Republican,state,,yes
jojean keller,Senator,17,Democrat,state,,yes
joshua morris,Senator,17,Republican,state,,yes
richard g mason,Senator,17,Republican,state,,yes
richard mason,Senator,17,Republican,state,,no
elizabeth d bosworth,Senator,18,Democrat,state,,yes
john andrews,Senator,18,Republican,state,,yes
joseph edward martin,Senator,19,Republican,state,,yes
joseph martin,Senator,19,Republican,state,,no
peter j southam,Senator,19,Democrat,state,,yes
bruce bickford,Senator,20,Republican,state,,yes
michael r scott,Senator,20,Democrat,state,,yes
eryn soule,Senator,21,Unenrolled,state,,yes
mana hared abdi,Senator,21,Democrat,state,,yes
shanna cox,Senator,21,Democrat,state,,yes
kimberly j pomerleau,Senator,22,Republican,state,,yes
nathan burnett,Senator,22,Democrat,state,,yes
bernard robert porter,Senator,23,Republican,state,,yes
matthea elisabeth larsen daughtry,Senator,23,Democrat,state,,yes
denise tepler,Senator,24,Democrat,state,,yes
teresa s pierce,Senator,25,Democrat,state,,yes
kenneth james cianchette,Senator,26,Republican,state,,yes
peter g violette,Senator,26,Republican,state,,yes
timothy e nangle,Senator,26,Democrat,state,,yes
jill c duson,Senator,27,Democrat,state,,yes
rachel talbot ross,Senator,28,Democrat,state,,yes
anne carney,Senator,29,Democrat,state,,yes
vincent maietta,Senator,29,Republican,state,,yes
eleanor sato,Senator,30,Democrat,state,,yes
harry white,Senator,30,Republican,state,,yes
sophia warren,Senator,30,Democrat,state,,yes
donna bailey,Senator,31,Democrat,state,,yes
garrett plummer,Senator,31,Republican,state,,yes
henry l ingwersen,Senator,32,Democrat,state,,yes
jason g litalien,Senator,32,Unenrolled,state,,yes
john murphy salamone,Senator,32,Republican,state,,no
mark vigliotta,Senator,33,Democrat,state,,yes
matthew a harrington,Senator,33,Republican,state,,yes
daniel sayre,Senator,34,Democrat,state,,yes
jonathan reed fallon,Senator,34,Republican,state,,yes
deane rykerson,Senator,35,Democrat,state,,yes
julie nicole rakic,Senator,35,Republican,state,,yes
michele meyer,Senator,35,Democrat,state,,yes
austin theriault,Representative,1,Republican,state,,yes
dana appleby,Representative,1,Democratic,state,,no
dana marie appleby,Representative,1,Democrat,state,,yes
roger clarence albert,Representative,2,Republican,state,,yes
roland daniel martin,Representative,2,Democrat,state,,yes
david h mccrea,Representative,3,Democrat,state,,yes
susan bernard,Representative,3,Republican,state,,yes
timothy conrad guerrette,Representative,4,Republican,state,,yes
bruce archer,Representative,5,Democrat,state,,yes
douglas colburn carlisle jr,Representative,5,Republican,state,,yes
donald james ardell,Representative,6,Republican,state,,yes
melanie ann tompkins,Representative,6,Democrat,state,,yes
jantzen stephen craine,Representative,7,Republican,state,,yes
matthew rush,Representative,7,Democrat,state,,yes
tracy lynn quint,Representative,8,Republican,state,,yes
arthur k mingo,Representative,9,Republican,state,,yes
nicole richards,Representative,9,Democrat,state,,yes
daniel daley,Representative,10,Republican,state,,yes
genevieve lemire,Representative,10,Democrat,state,,yes
william r tuell,Representative,10,Republican,state,,yes
keith newman,Representative,11,Democrat,state,,yes
tiffany strout,Representative,11,Republican,state,,yes
edward mathias kamin iii,Representative,12,Unenrolled,state,,no
thomas hart,Representative,12,Republican,state,,yes
j mark worth,Representative,13,Democratic,state,,no
john linnehan,Representative,13,Unenrolled,state,,no
michael hobart cunningham ii,Representative,13,Democrat,state,,yes
russell p white,Representative,13,Republican,state,,yes
gary friedmann,Representative,14,Democrat,state,,yes
jean donovan,Representative,14,Republican,state,,yes
clifford noyes,Representative,15,Unenrolled,state,,no
holly rae eaton,Representative,15,Democrat,state,,yes
eric white,Representative,16,Republican,state,,yes
gary gene runnells jr,Representative,16,Unenrolled,state,,no
nina a milliken,Representative,16,Democrat,state,,yes
ronald b russell,Representative,17,Democrat,state,,yes
steven matthew bishop iv,Representative,17,Republican,state,,yes
jonathan goble,Representative,18,Democratic,state,,yes
mathew david mcintyre,Representative,18,Republican,state,,yes
david ulrich,Representative,19,Democrat,state,,yes
richard h campbell,Representative,19,Republican,state,,yes
dani ohalloran,Representative,20,Democrat,state,,yes
patrick a jude,Representative,20,Republican,state,,yes
ambureen rana,Representative,21,Democrat,state,,yes
andrew laverdiere,Representative,21,Republican,state,,yes
colby michael lapointe,Representative,21,,state,,no
frank joseph casella,Representative,21,Republican,state,,yes
colleen t oneal,Representative,22,Republican,state,,yes
laura danielle supica,Representative,22,Democrat,state,,yes
brian ames,Representative,23,Republican,state,,yes
joschka winterling,Representative,23,Democrat,state,,yes
katie brydon,Representative,23,Democrat,state,,yes
victoria porter kornfield,Representative,23,Democrat,state,,yes
carolyn fish,Representative,24,Republican,state,,no
joseph charles perry,Representative,24,Democratic,state,,no
sean f faircloth,Representative,24,Democrat,state,,yes
anthony m weaver,Representative,25,Republican,state,,yes
laurie osher,Representative,25,Democrat,state,,yes
edward l paradis,Representative,26,Republican,state,,yes
james f dill,Representative,26,Democrat,state,,yes
david giles,Representative,27,Republican,state,,yes
devan arnold,Representative,27,Democrat,state,,yes
gary a drinkwater,Representative,27,Republican,state,,no
gordon powell street,Representative,28,Democrat,state,,yes
irene a gifford,Representative,28,Republican,state,,yes
james michael michaud,Representative,29,Republican,state,,yes
nancy jean theriault,Representative,29,Republican,state,,yes
nancy mcdowell,Representative,29,Democrat,state,,yes
nancy mcdowellspecial,Representative,29,Democrat,state,,yes
james lee white,Representative,30,Republican,state,,yes
john j contreni jr,Representative,30,Democrat,state,,yes
andrew r torbett,Representative,31,Republican,state,,yes
eric boothroyd,Representative,31,Democrat,state,,yes
shawn leroy lancaster,Representative,32,Republican,state,,yes
kenneth wade fredette,Representative,33,Republican,state,,yes
michael brayson,Representative,33,Democrat,state,,yes
james mcclymer,Representative,34,Democrat,state,,yes
stacey kay guerin,Representative,34,Republican,state,,yes
debora farnham,Representative,35,Democrat,state,,yes
james e thorne,Representative,35,Republican,state,,yes
clifton foster,Representative,36,Democrat,state,,yes
kimberly m haggan,Representative,36,Republican,state,,yes
alan lee orcutt,Representative,37,Democrat,state,,yes
reagan leeann paul,Representative,37,Republican,state,,yes
benjamin charles hymes,Representative,38,Republican,state,,yes
kayla miller,Representative,38,Democrat,state,,yes
stephen ellis,Representative,38,Democratic,state,,no
madison cook,Representative,39,Democrat,state,,yes
michael j nicholson,Representative,39,Republican,state,,yes
d michael ray,Representative,40,Democrat,state,,yes
joseph milton mclaughlin,Representative,40,Republican,state,,yes
cory raymond,Representative,41,Republican,state,,yes
joshua d gerritsen,Representative,41,Democrat,state,,yes
marcus mrowka,Representative,41,Democrat,state,,yes
jamie lee hopkins,Representative,42,,state,,no
melissa byer,Representative,42,Republican,state,,yes
valli d geiger,Representative,42,Democrat,state,,yes
chris p austin,Representative,43,Republican,state,,yes
michael sweeny flanagan,Representative,43,Republican,state,,yes
peter q jenks,Representative,43,Democrat,state,,yes
rhiannon hampson,Representative,43,Democrat,state,,yes
brady alden clark,Representative,44,Republican,state,,yes
ray thombs,Representative,44,Republican,state,,yes
shawn saindon,Representative,44,Unenrolled,state,,yes
clinton collamore,Representative,45,Unenrolled,state,,yes
rebecca stephens,Representative,45,Republican,state,,yes
jennifer mayher,Representative,46,Democrat,state,,yes
kristine a poland,Representative,46,Unenrolled,state,,yes
chester b grover iii,Representative,47,Republican,state,,yes
wayne k farrin,Representative,47,Democrat,state,,yes
charlotte nutt,Representative,48,Democrat,state,,yes
erik hobson,Representative,48,Republican,state,,yes
