candidate_name,candidate_id,office,district,party,committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,disbursement_description,disbursement_purpose_category,disbursement_date,disbursement_amount,disbursement_type_description,memo_text,line_number_label
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,MAINE REPUBLICAN PARTY,AUGUSTA,ME,04330,TRANSFER,CONTRIBUTIONS,2024-11-06,192.8,CONTRIBUTION MADE TO NON-AFFILIATED,,Other Disbursements
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2024-07-11,1.97,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2024-07-05,0.99,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,I360,ARLINGTON,VA,22201,DATA MANAGEMENT CONSULTING,OTHER,2024-06-20,1385.74,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2024-06-14,4.53,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,RED CURVE SOLUTIONS LLC,BEVERLY,MA,01915,BATCHING & CAGING SERVICES,OTHER,2024-06-14,3.15,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,FACEBOOK,MENLO PARK,CA,94025,ONLINE ADVERTISING,OTHER,2024-06-14,92.86,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,"POPE, SUSAN",LONGVIEW,TX,75601,CONTRIBUTION REFUND,REFUNDS,2024-06-13,3300.0,CONTRIBUTION REFUND TO INDIVIDUAL,,Refunds of Contributions to Individuals/Persons Other Than Political Committees
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,"PIANTIDOSI, FRANCIS",JUNO BEACH,FL,33408,CONTRIBUTION REFUND,REFUNDS,2024-06-13,3300.0,CONTRIBUTION REFUND TO INDIVIDUAL,,Refunds of Contributions to Individuals/Persons Other Than Political Committees
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,"PIANTIDOSI, FLORENCE",JUNO BEACH,FL,33408,CONTRIBUTION REFUND,REFUNDS,2024-06-13,3300.0,CONTRIBUTION REFUND TO INDIVIDUAL,,Refunds of Contributions to Individuals/Persons Other Than Political Committees
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WILLOWS PIZZA & RESTAURANT,SOUTH PORTLAND,ME,04106,STAFF MEALS,TRAVEL,2024-06-13,1270.1,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,FACEBOOK,MENLO PARK,CA,94025,ONLINE ADVERTISING,OTHER,2024-06-12,250.0,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,ATLANTIC COAST RADIO,PORTLAND,ME,04103,RADIO ADVERTISING,ADVERTISING,2024-06-12,400.0,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,FACEBOOK,MENLO PARK,CA,94025,ONLINE ADVERTISING,OTHER,2024-06-11,500.0,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2024-06-10,0.99,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,FACEBOOK,MENLO PARK,CA,94025,ONLINE ADVERTISING,OTHER,2024-06-10,500.0,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,FACEBOOK,MENLO PARK,CA,94025,ONLINE ADVERTISING,OTHER,2024-06-09,425.0,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2024-06-07,2.96,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,RED CURVE SOLUTIONS LLC,BEVERLY,MA,01915,COMPLIANCE CONSULTING,OTHER,2024-06-07,1515.27,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,"LAVERDIERE, ALEXANDER",RAYMOND,ME,04071,POLITICAL STRATEGY CONSULTING,OTHER,2024-06-07,3500.0,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,FACEBOOK,MENLO PARK,CA,94025,ONLINE ADVERTISING,OTHER,2024-06-07,125.0,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,FACEBOOK,MENLO PARK,CA,94025,ONLINE ADVERTISING,OTHER,2024-06-06,175.0,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2024-06-04,1.97,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,AMERICAN LEGION POST 159,KENNEBUNKPORT,ME,04046,FACILITY RENTAL,ADMINISTRATIVE,2024-06-04,300.0,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,I360,ARLINGTON,VA,22201,DATA MANAGEMENT CONSULTING,OTHER,2024-05-31,1500.0,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,"POPP, STEPHEN",NEWCASTLE,ME,04553,POPP REIMBURSEMENT: SEE MEMO ENTRY,OTHER,2024-05-28,106.62,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,AQUA MANAGEMENT LLC,SACO,ME,04072,CONTRIBUTION REFUND,OTHER,2024-05-24,1000.0,,,Refunds of Contributions to Individuals/Persons Other Than Political Committees
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2024-05-23,8.99,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2024-05-20,3.94,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2024-05-17,21.67,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,"MAINE-OK ENTERPRISES, INC",BOOTHBAY HARBOR,ME,04538,ONLINE ADVERTISING,OTHER,2024-05-16,1146.0,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,4DC AUGUSTA LLC,SPRINGVALE,ME,04083,ROAD SIGNS,OTHER,2024-05-16,6000.0,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2024-05-13,19.7,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2024-05-09,3.15,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,TRAILMAPPER,WASHINGTON DC,DC,20003,FUNDRAISING CONSULTING,OTHER,2024-05-09,3000.0,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,RED CURVE SOLUTIONS LLC,BEVERLY,MA,01915,COMPLIANCE CONSULTING,OTHER,2024-05-09,1542.61,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2024-05-07,3.15,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2024-05-02,22.15,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,FAIRFIELD INN & SUITES AUGUSTA,AUGUSTA,ME,04330,TRAVEL:LODGING,TRAVEL,2024-05-02,279.04,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,FAIRFIELD INN & SUITES AUGUSTA,AUGUSTA,ME,04330,TRAVEL:LODGING,TRAVEL,2024-04-29,279.04,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2024-04-26,19.7,,,Operating Expenditures
