candidate_name,candidate_id,office,district,committee_id,report_type,report_year,coverage_start_date,coverage_end_date,receipt_date,total_receipts,total_disbursements,cash_on_hand,pdf_url,document_description
"DUPREY, JOSHUA JAMES",H6ME01264,House,01,C00905240,,2025,,,2025-05-14T00:00:00,,,,https://docquery.fec.gov/pdf/380/202505149761195380/202505149761195380.pdf,Statement of Organization 2025
"SMALL, ERIC",H6ME01272,House,01,C00912055,,2026,,,2026-03-11T00:00:00,,,,https://docquery.fec.gov/pdf/315/202603110300342315/202603110300342315.pdf,Termination Approval 2026
"SMALL, ERIC",H6ME01272,House,01,C00912055,TERMINATION REPORT,2026,2026-01-01,2026-03-10,2026-03-10T00:00:00,0.0,0.0,0.0,https://docquery.fec.gov/pdf/403/202603109837935403/202603109837935403.pdf,TERMINATION REPORT 2026
"SMALL, ERIC",H6ME01272,House,01,C00912055,YEAR-END,2025,2025-10-01,2025-12-31,2026-01-30T00:00:00,528.0,5755.82,0.0,https://docquery.fec.gov/pdf/674/202601309795049674/202601309795049674.pdf,YEAR-END 2025
"SMALL, ERIC",H6ME01272,House,01,C00912055,OCTOBER QUARTERLY,2025,2025-07-01,2025-09-30,2025-10-15T00:00:00,11986.0,6758.18,5227.82,https://docquery.fec.gov/pdf/692/202510159791480692/202510159791480692.pdf,OCTOBER QUARTERLY 2025
"SMALL, ERIC",H6ME01272,House,01,C00912055,,2025,,,2025-07-22T00:00:00,,,,https://docquery.fec.gov/pdf/321/202507229764198321/202507229764198321.pdf,Statement of Organization 2025
"SMALL, ERIC",H6ME01272,House,01,C00912055,,2025,,,2025-07-15T00:00:00,,,,https://docquery.fec.gov/pdf/746/202507159763287746/202507159763287746.pdf,Statement of Organization 2025
"WOOD, JORDAN",H6ME02197,House,02,C00903179,YEAR-END,2025,2025-10-01,2025-12-31,2026-01-31T00:00:00,1219470.83,1507338.74,632601.81,https://docquery.fec.gov/pdf/566/202601319810168566/202601319810168566.pdf,YEAR-END 2025
"WOOD, JORDAN",H6ME02197,House,02,C00903179,,2025,,,2025-12-23T00:00:00,,,,https://docquery.fec.gov/pdf/583/202512239793857583/202512239793857583.pdf,Miscellaneous Report to FEC 2025
"WOOD, JORDAN",H6ME02197,House,02,C00903179,,2025,,,2025-11-12T00:00:00,,,,https://docquery.fec.gov/pdf/915/202511129792596915/202511129792596915.pdf,Statement of Organization 2025
"WOOD, JORDAN",H6ME02197,House,02,C00903179,OCTOBER QUARTERLY,2025,2025-07-01,2025-09-30,2025-10-15T00:00:00,1492112.26,1375710.28,920469.72,https://docquery.fec.gov/pdf/323/202510159791310323/202510159791310323.pdf,OCTOBER QUARTERLY 2025
"WOOD, JORDAN",H6ME02197,House,02,C00903179,JULY QUARTERLY,2025,2025-04-23,2025-06-30,2025-07-15T00:00:00,1606800.07,802732.33,804067.74,https://docquery.fec.gov/pdf/140/202507159763423140/202507159763423140.pdf,JULY QUARTERLY 2025
"WOOD, JORDAN",H6ME02197,House,02,C00903179,,2025,,,2025-04-23T00:00:00,,,,https://docquery.fec.gov/pdf/366/202504239756380366/202504239756380366.pdf,Statement of Organization 2025
"BALDACCI, JOSEPH",H6ME02213,House,02,C00934000,,2026,,,2026-01-12T00:00:00,,,,https://docquery.fec.gov/pdf/331/202601129793940331/202601129793940331.pdf,Statement of Organization 2026
"GOLDEN, JARED",H8ME02185,House,02,C00653816,YEAR-END,2025,2025-10-01,2025-12-31,2026-03-29T00:00:00,,,,https://docquery.fec.gov/pdf/067/202603290300344067/202603290300344067.pdf,RFAI: YEAR-END 2025
"GOLDEN, JARED",H8ME02185,House,02,C00653816,YEAR-END,2025,2025-10-01,2025-12-31,2026-01-31T00:00:00,240355.61,1389662.11,523425.72,https://docquery.fec.gov/pdf/843/202601319808863843/202601319808863843.pdf,YEAR-END 2025
"GOLDEN, JARED",H8ME02185,House,02,C00653816,OCTOBER QUARTERLY,2025,2025-07-01,2025-09-30,2026-01-31T00:00:00,1002127.52,331891.08,1672732.22,https://docquery.fec.gov/pdf/101/202601319808846101/202601319808846101.pdf,OCTOBER QUARTERLY 2025
"GOLDEN, JARED",H8ME02185,House,02,C00653816,QUARTERLY SEMI-ANNUAL (YE),2025,2025-10-01,2025-12-31,2026-01-31T00:00:00,,,,https://docquery.fec.gov/pdf/367/202601319808871367/202601319808871367.pdf,QUARTERLY SEMI-ANNUAL (YE) 2025
"GOLDEN, JARED",H8ME02185,House,02,C00653816,OCTOBER QUARTERLY,2025,2025-07-01,2025-09-30,2025-10-15T00:00:00,,,,https://docquery.fec.gov/pdf/760/202510159791541760/202510159791541760.pdf,OCTOBER QUARTERLY 2025
"GOLDEN, JARED",H8ME02185,House,02,C00653816,OCTOBER QUARTERLY,2025,2025-07-01,2025-09-30,2025-10-15T00:00:00,1002127.52,331891.08,1672732.22,https://docquery.fec.gov/pdf/491/202510159791540491/202510159791540491.pdf,OCTOBER QUARTERLY 2025
"GOLDEN, JARED",H8ME02185,House,02,C00653816,,2025,,,2025-10-15T00:00:00,,,,https://docquery.fec.gov/pdf/368/202510159790988368/202510159790988368.pdf,Statement of Organization 2025
"GOLDEN, JARED",H8ME02185,House,02,C00653816,JULY QUARTERLY,2025,2025-04-01,2025-06-30,2025-07-15T00:00:00,833088.56,279089.11,1002495.78,https://docquery.fec.gov/pdf/380/202507159763505380/202507159763505380.pdf,JULY QUARTERLY 2025
"GOLDEN, JARED",H8ME02185,House,02,C00653816,JULY QUARTERLY / SEMI-ANNUAL,2025,2025-04-01,2025-06-30,2025-07-15T00:00:00,,,,https://docquery.fec.gov/pdf/083/202507159763507083/202507159763507083.pdf,JULY QUARTERLY / SEMI-ANNUAL 2025
"GOLDEN, JARED",H8ME02185,House,02,C00653816,,2025,,,2025-07-15T00:00:00,,,,https://docquery.fec.gov/pdf/657/202507159763500657/202507159763500657.pdf,Statement of Organization 2025
"GOLDEN, JARED",H8ME02185,House,02,C00653816,APRIL QUARTERLY,2025,2025-01-01,2025-03-31,2025-04-15T00:00:00,474414.8,152648.35,448496.33,https://docquery.fec.gov/pdf/222/202504159756055222/202504159756055222.pdf,APRIL QUARTERLY 2025
"GOLDEN, JARED",H8ME02185,House,02,C00653816,,2025,,,2025-03-24T00:00:00,,,,https://docquery.fec.gov/pdf/271/202503249754476271/202503249754476271.pdf,Statement of Organization 2025
"GOLDEN, JARED",H8ME02185,House,02,C00653816,YEAR-END,2024,2024-11-26,2024-12-31,2025-01-31T00:00:00,67489.34,205672.74,126729.88,https://docquery.fec.gov/pdf/348/202501319752736348/202501319752736348.pdf,YEAR-END 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,QUARTERLY SEMI-ANNUAL (YE),2024,2024-11-26,2024-12-31,2025-01-31T00:00:00,,,,https://docquery.fec.gov/pdf/696/202501319752736696/202501319752736696.pdf,QUARTERLY SEMI-ANNUAL (YE) 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,POST-GENERAL,2024,2024-10-17,2024-11-25,2024-12-05T00:00:00,813365.56,1624254.42,264913.28,https://docquery.fec.gov/pdf/349/202412059731785349/202412059731785349.pdf,POST-GENERAL 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,POST-GENERAL,2024,2024-10-17,2024-11-25,2024-12-05T00:00:00,,,,https://docquery.fec.gov/pdf/096/202412059731742096/202412059731742096.pdf,POST-GENERAL 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,,2024,,,2024-11-19T00:00:00,,,,https://docquery.fec.gov/pdf/947/202411199719994947/202411199719994947.pdf,Statement of Organization 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED,2024,,,2024-11-04T00:00:00,,,,https://docquery.fec.gov/pdf/849/202411049719922849/202411049719922849.pdf,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED,2024,,,2024-11-03T00:00:00,,,,https://docquery.fec.gov/pdf/835/202411039719920835/202411039719920835.pdf,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED,2024,,,2024-11-02T00:00:00,,,,https://docquery.fec.gov/pdf/032/202411029719918032/202411029719918032.pdf,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED,2024,,,2024-11-01T00:00:00,,,,https://docquery.fec.gov/pdf/149/202411019719914149/202411019719914149.pdf,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED 2024
