branch,district,candidate,finance_type,party
Androscoggin,County Commissioner/District 2,"Poirer, Roland",TF,D
Androscoggin,County Commissioner/District 3,"Chateauvert, Glenn",TF,R
Androscoggin,County Commissioner/District 5,"Bell, Gordon",TF,R
Androscoggin,County Commissioner/District 7,"Baumann, Coreene",TF,R
Androscoggin,County Commissioner/District 7,"Cesare, Lisa",TF,D
Androscoggin,Judge of Probate,"Dubois, Michael, IV",TF,R
Androscoggin,Sheriff,"Nichols, Kevin M.",TF,U
Androscoggin,Sheriff,"Samson, Eric G.",TF,D
Aroostook,County Commissioner/District 1,"Dobbins, William",TF,R
Aroostook,Register Of Deeds,"Ouellette, Amy",TF,D
Aroostook,Register Of Deeds,"Richardson, Melissa L.",TF,R
Cumberland,County Commissioner/District 3,"Leshure, Amy",TF,D
Cumberland,County Commissioner/District 3,"Mahaffey, Joel",TF,D
Cumberland,County Commissioner/District 4,"Olson, Sidgrid",TF,D
Cumberland,County Commissioner/District 4,"Smith, Patricia A.",TF,D
Cumberland,County Commissioner/District 5,"Boykin, Atiim Bomani",TF,D
Cumberland,County Commissioner/District 5,"Chann, Marpheen",TF,D
Cumberland,Judge of Probate,"Aranson, Paul",TF,D
Cumberland,Sheriff,"Joyce, Kevin J.",TF,D
Franklin,County Commissioner/District 4,"Ireland, Earl",TF,R
Franklin,County Commissioner/District 4,"Carlton, Robert",TF,R
Franklin,County Commissioner/District 5,"Gilbert, Jeffrey P.",TF,R
Franklin,County Commissioner/District 5,"Martin, Jr., Earl",TF,R
Franklin,County Treasurer,"Pratt, Susan",TF,R
Franklin,County Treasurer,"Prodan, Pamela",TF,D
Franklin,Judge of Probate,"Joly, Margot",TF,D
Franklin,Register Of Deeds,"Black, Susan A.",TF,R
Hancock,County Treasurer,"Cease, Monica",TF,D
Hancock,Judge of Probate,"Foster, Matthew",TF,R
Hancock,Judge of Probate,"Thomas, Brian",TF,D
Hancock,Register Of Deeds,"Curtis, Julie A",TF,R
Hancock,Sheriff,"Bagley, Corey Leigh",TF,R
Hancock,Sheriff,"Dupuis, Dakota",TF,D
Kennebec,County Commissioner/District 2,"Pietroski, Joseph",TF,R
Kennebec,County Commissioner/District 2,"Madore, Noel",TF,D
Kennebec,County Treasurer,"Mason, Joanne",TF,D
Kennebec,Register Of Deeds,"Boucher, Matthew",TF,R
Kennebec,Register Of Deeds,"Lamoreau, Kevin M.",TF,D
Knox,County Commissioner/District 1,"Glaser, Edward",TF,D
Knox,Judge of Probate,"Emery, Carol R.",TF,R
Knox,Sheriff,"Hansen, John",TF,D
Knox,Sheriff,"Joy, Albert",TF,U
Knox,Sheriff,"Polky, Patrick William",TF,D
Lincoln,County Treasurer,"Kane, Michelle M.",TF,R
Lincoln,County Commissioner/District 2,"Voskian, Walter John",TF,D
Lincoln,Register Of Deeds,"Wotton, Rebecca Sue",TF,R
Lincoln,Register Of Probate,"Moore, Catherine H.",TF,R
Lincoln,Sheriff,"Brackett, Todd",TF,D
