candidate_clean,candidate_display,race,district,finance_type,party
shenna bellows,"Bellows, Shenna",Governor,,TF,D
richard bennett,"Bennett, Richard",Governor,,TF,U
jonathan bush,"Bush, Jonathan",Governor,,TF,R
robert b charles,"Charles, Robert B.",Governor,,TF,R
w edward crockett,"Crockett, W. Edward",Governor,,TF,U
sr john michael glowa,"Glowa, Sr., John Michael",Governor,,TF,U
troy dale jackson,"Jackson, Troy Dale",Governor,,TF,D
david john jones,"Jones, David John",Governor,,TF,R
angus s king iii,"King III, Angus S.",Governor,,TF,D
derek allen levasseur,"Levasseur, Derek Allen",Governor,,TF,U
james delmas libby,"Libby, James Delmas",Governor,,MCEA,R
garrett paul mason,"Mason, Garrett Paul",Governor,,TF,R
owen mccarthy,"McCarthy, Owen",Governor,,TF,R
benjamin midgley,"Midgley, Benjamin",Governor,,TF,R
andrew parker,"Parker, Andrew",Governor,,TF,U
hannah pingree,"Pingree, Hannah",Governor,,TF,D
nirav shah,"Shah, Nirav",Governor,,TF,D
robert j wessels,"Wessels, Robert J.",Governor,,TF,R
dana marie appleby,"Appleby, Dana Marie",Representative,1,TF,D
austin theriault,"Theriault, Austin",Representative,1,TF,R
roger albert,"Albert, Roger",Representative,2,TF,R
roland daniel martin,"Martin, Roland Daniel",Representative,2,MCEA,D
david h mccrea,"McCrea, David H.",Representative,3,MCEA,D
susan bernard,"Bernard, Susan",Representative,3,TF,R
timothy conrad guerrette,"Guerrette, Timothy Conrad",Representative,4,MCEA,R
bruce archer,"Archer, Bruce",Representative,5,MCEA,D
jr douglas colburn carlisle,"Carlisle, Jr., Douglas Colburn",Representative,5,MCEA,R
donald ardell,"Ardell, Donald",Representative,6,TF,R
melanie tompkins,"Tompkins, Melanie",Representative,6,TF,D
jantzen stephen craine,"Craine, Jantzen Stephen",Representative,7,TF,R
matthew rush,"Rush, Matthew",Representative,7,MCEA,D
tracy quint,"Quint, Tracy",Representative,8,TF,R
arthur mingo,"Mingo, Arthur",Representative,9,TF,R
nicole richards,"Richards, Nicole",Representative,9,MCEA,D
daniel j daley,"Daley, Daniel J.",Representative,10,TF,R
genevieve lemire,"Lemire, Genevieve",Representative,10,MCEA,D
william r tuell,"Tuell, William R.",Representative,10,MCEA,R
keith newman,"Newman, Keith",Representative,11,MCEA,D
tiffany strout,"Strout, Tiffany",Representative,11,MCEA,R
thomas hart,"Hart, Thomas",Representative,12,TF,R
iii edward mathias kamin,"Kamin, III, Edward Mathias",Representative,12,MCEA,U
russell white,"White, Russell",Representative,13,MCEA,R
michael cunningham,"Cunningham, Michael",Representative,13,MCEA,D
jean donovan,"Donovan, Jean",Representative,14,TF,R
gary friedmann,"Friedmann, Gary",Representative,14,MCEA,D
holly eaton,"Eaton, Holly",Representative,15,MCEA,D
nina a milliken,"Milliken, Nina A.",Representative,16,MCEA,D
jr gary gene runnells,"Runnells, Jr., Gary Gene",Representative,16,TF,U
eric white,"White, Eric",Representative,16,TF,R
bishop steven matthew,Bishop Steven Matthew,Representative,17,TF,R
ronald russell,"Russell, Ronald",Representative,17,TF,D
mathew mcintyre,"McIntyre, Mathew",Representative,18,TF,R
richard h campbell,"Campbell, Richard H.",Representative,19,TF,R
patrick jude,"Jude, Patrick",Representative,20,MCEA,R
dani ohalloran,"O'Halloran, Dani",Representative,20,MCEA,D
frank joseph casella,"Casella, Frank Joseph",Representative,21,MCEA,R
andrew laverdiere,"Laverdiere, Andrew",Representative,21,TF,R
ambureen rana,"Rana, Ambureen",Representative,21,MCEA,D
colleen oneal,"O'Neal, Colleen",Representative,22,TF,R
laura supica,"Supica, Laura",Representative,22,TF,D
brian ames,"Ames, Brian",Representative,23,MCEA,R
katie brydon,"Brydon, Katie",Representative,23,MCEA,D
victoria porter kornfield,"Kornfield, Victoria Porter",Representative,23,MCEA,D
joschka ab winterling,"Winterling, Joschka A.B.",Representative,23,MCEA,D
sean faircloth,"Faircloth, Sean",Representative,24,MCEA,D
daniel robert lapointe,"Lapointe, Daniel Robert",Representative,24,TF,R
laurie osher,"Osher, Laurie",Representative,25,MCEA,D
anthony m weaver,"Weaver, Anthony M.",Representative,25,MCEA,R
edward l paradis,"Paradis, Edward L.",Representative,26,TF,R
james f dill,"Dill, James F.",Representative,26,MCEA,D
devan arnold,"Arnold, Devan",Representative,27,MCEA,D
david giles,"Giles, David",Representative,27,TF,R
irene a gifford,"Gifford, Irene A.",Representative,28,MCEA,R
gordon powell street,"Street, Gordon Powell",Representative,28,MCEA,D
nancy mcdowell,"McDowell, Nancy",Representative,29,MCEA,D
james michael michaud,"Michaud, James Michael",Representative,29,MCEA,R
nancy jean theriault,"Theriault, Nancy Jean",Representative,29,MCEA,R
jr john j contreni,"Contreni, Jr., John J.",Representative,30,TF,D
james lee white,"White, James Lee",Representative,30,TF,R
eric boothroyd,"Boothroyd, Eric",Representative,31,TF,D
andrew r torbett,"Torbett, Andrew R.",Representative,31,TF,R
shawn leroy lancaster,"Lancaster, Shawn Leroy",Representative,32,TF,R
michael brayson,"Brayson, Michael",Representative,33,MCEA,D
kenneth wade fredette,"Fredette, Kenneth Wade",Representative,33,TF,R
stacey kay guerin,"Guerin, Stacey Kay",Representative,34,TF,R
james mcclymer,"McClymer, James",Representative,34,TF,D
debora farnham,"Farnham, Debora",Representative,35,MCEA,D
james e thorne,"Thorne, James E.",Representative,35,MCEA,R
kimberly haggan,"Haggan, Kimberly",Representative,36,MCEA,R
alan lee orcutt,"Orcutt, Alan Lee",Representative,37,MCEA,D
reagan paul,"Paul, Reagan",Representative,37,TF,R
jason seth cherry,"Cherry, Jason Seth",Representative,38,TF,D
benjamin hymes,"Hymes, Benjamin",Representative,38,TF,R
kayla miller,"Miller, Kayla",Representative,38,MCEA,D
madison cook,"Cook, Madison",Representative,39,MCEA,D
michael j nicholson,"Nicholson, Michael J.",Representative,39,TF,R
joseph mclaughlin,"McLaughlin, Joseph",Representative,40,TF,R
david michael ray,"Ray, David Michael",Representative,40,MCEA,D
joshua daniel gerritsen,"Gerritsen, Joshua Daniel",Representative,41,MCEA,D
marcus mrowka,"Mrowka, Marcus",Representative,41,MCEA,D
cory c raymond,"Raymond, Cory C.",Representative,41,TF,R
melissa byer,"Byer, Melissa",Representative,42,TF,R
valli d geiger,"Geiger, Valli D.",Representative,42,MCEA,D
christopher austin,"Austin, Christopher",Representative,43,TF,R
michael sweeny flanagan,"Flanagan, Michael Sweeny",Representative,43,MCEA,R
rhiannon hampson,"Hampson, Rhiannon",Representative,43,TF,D
peter q jenks,"Jenks, Peter Q.",Representative,43,MCEA,D
brady alden clark,"Clark, Brady Alden",Representative,44,TF,R
