variant_name,canonical_name
"angus s. king, iii",angus s king iii
"charles hippler, iv",charles hippler iv
"david wayne boyer, jr.",david wayne boyer jr
"gary gene runnells, jr.",gary gene runnells jr
"john michael glowa, sr.",john michael glowa sr
"marc g. malon, ii",marc g malon ii
"marc malon, ii",marc g malon ii
adam lee,adam r lee
adam r. lee,adam r lee
alan orcutt,alan lee orcutt
alicia collins,alicia c collins
amanda collamore,amanda noelle collamore
amy d. kuhn,amy d kuhn
amy kuhn,amy d kuhn
amy roeder,amy j roeder
andrew gattine,andrew m gattine
andrew r. torbett,andrew r torbett
andrew torbett,andrew r torbett
angus king iii,angus s king iii
angus s iii king,angus s king iii
ann matlack,ann higgins matlack
anne graham,anne p graham
anne-marie mastraccio,annemarie mastraccio
anthony weaver,anthony m weaver
arlie hetrick jr.,arlie hetrick jr
arthur k. mingo,arthur k mingo
arthur mingo,arthur k mingo
barbara bagshaw,barbara a bagshaw
benjamin hymes,benjamin charles hymes
bernard porter,bernard robert porter
billy faulkingham,billy bob faulkingham
bradley moulton,bradley s moulton
brady clark,brady alden clark
brian j. blake,brian j blake
caleb chase,caleb joseph chase
caleb ness,caleb joshua ness
cassandra dove,cassandra anne dove
cassie julia,cassie l julia
chad perkins,chad richard perkins
charles tilburg,charles edward tilburg
cheryl golek,cheryl a golek
chester b. grover iii,chester b grover iii
chester grover iii,chester b iii grover
christina mitchell,christina rue cork mitchell
christopher austin,chris p austin
christopher lewey,christopher alfred lewey
clinton phinney jr.,clinton phinney jr
colleen oneal,colleen t oneal
craig hickman,craig v hickman
d ray,d michael ray
d. michael ray,d michael ray
dale crafts,dale john crafts
dani o'halloran,dani ohalloran
daniel ankeles,daniel joseph ankeles
danny costain,danny e costain
david boyer jr,david wayne jr boyer
david c. woodsome,david c woodsome
david g. haggan,david g haggan
david guilmette,david w guilmette
david h. mccrea,david h mccrea
david haggan,david g haggan
david jones,david john jones
david mccrea,david h mccrea
david sinclair,david a sinclair
dean a. cray,dean a cray
dean cray,dean a cray
dexter 'buzz' bridges,dexter buzz bridges
donald ardell,donald james ardell
douglas a. thomas,douglas a thomas
