variant_name,canonical_name
angus king iii,angus s iii king
angus king iii,angus s king iii
troy jackson,troy dale jackson
robert charles,robert b charles
robert wessels,robert j wessels
garrett mason,garrett paul mason
david jones,david john jones
william tuell,william r tuell
daniel ankeles,daniel joseph ankeles
poppy arford,poppy t arford
maura pillsbury,maura h pillsbury
r winslow,r melissa winslow
anne graham,anne p graham
barbara bagshaw,barbara anne bagshaw
barbara bagshaw,barbara a bagshaw
mark cooper,mark c cooper
parnell terry,parnell william terry
christina mitchell,christina rue cork mitchell
amy kuhn,amy d kuhn
grayson lookner,grayson benjamin lookner
samuel zager,samuel lewis zager
yusuf yusuf,yusuf muse yusuf
matthew beck,matthew d beck
michelle boyer,michelle nicole boyer
michelle boyer,michelle n boyer
kelly murphy,kelly maureen noonan murphy
andrew gattine,andrew m gattine
morgan rielly,morgan j rielly
suzanne salisbury,suzanne m salisbury
russell white,russell patrick white
russell white,russell p white
lynn copeland,lynn holland copeland
ryan fecteau,ryan m fecteau
marc malon ii,marc g ii malon
marc malon ii,marc g malon ii
marc ii malon,marc g ii malon
marc ii malon,marc g malon ii
traci gere,traci l gere
rachel phipps,rachel mary phipps
michelle conners,michelle kathryn conners
john eder,john michael eder
charles tilburg,charles edward tilburg
nathan carlow,nathan m carlow
jonathan kinney,jonathan l kinney
jamie newton,jamie k newton
marc boisse,marc anthony boisse
john henkelman,john robert iii henkelman
john henkelman,john robert henkelman iii
eric small,eric h small
jeffrey adams,jeffrey sean adams
kristin davis,kristin tyra davis
caleb chase,caleb joseph chase
walter runte jr,walter gerard jr runte
bradley moulton,bradley s moulton
holly sargent,holly taylor sargent
holly sargent,holly t sargent
thomas lavigne,thomas arthur lavigne
mallory cook,mallory aaren cook
holly eaton,holly rae eaton
mark zimmer,mark frederick zimmer
mark zimmer,mark f zimmer
suzanne johnson,suzanne c johnson
nina milliken,nina azella milliken
nina milliken,nina a milliken
ronald russell,ronald b russell
steven matthew bishop,steven matthew iv bishop
steven matthew bishop,steven matthew bishop iv
steven bishop,steven matthew iv bishop
steven bishop,steven matthew bishop iv
steven bishop,steven matthew bishop
