Candidate Name,Office Name,District,Party,Incumbent,Finance Type,Election Year,ID Number,Status,Jurisdiction,Gender,Total Contributions,Total Expenditures,Primary Election Result,General Election Result
"Abbott, Dannie D ",Representative,79,Republican,OPEN SEAT,MCEA (Pending),2024,484720,Terminated,STATE,Male,0.0000,0.0000,,
"Abdi, Mana Hared ",Representative,95,Democratic,INCUMBENT,MCEA (Qualified),2024,487894,Terminated,STATE,Female,5181.2900,5181.2900,Won,Won
"Abdi, Mana Hared ",Senator,21,Democratic,OPEN SEAT,MCEA (Pending),2026,580252,Active,STATE,Female,0.0000,0.0000,,
"Abdirahman, Shukri Idris ",County Commissioner,District 1,Democratic,,Traditionally Financed,2024,500007,Active,Androscoggin County,Female,276.8300,77.9100,,
"Abercrombie, Susan ",Senator,28,Republican,OPEN SEAT,Traditionally Financed,2024,487336,Terminated,STATE,Female,1355.0000,1352.0800,Won,None
"Ackley, Kent F. ",Representative,56,Unenrolled,CHALLENGER,MCEA (Qualified),2024,490929,Terminated,STATE,Male,19883.1700,19890.7500,,Lost
"Adams, Herbert C. ",Representative,118,Democratic,OPEN SEAT,MCEA (Qualified),2024,488422,Terminated,STATE,Male,3525.0000,3525.0000,Lost,None
"Adams, Jeff ",Representative,144,Republican,INCUMBENT,Traditionally Financed,2026,580164,Active,STATE,Male,0.0000,0.0000,,
"Adams, Jeffrey Sean ",Representative,144,Republican,INCUMBENT,Traditionally Financed,2024,487446,Terminated,STATE,Male,3292.0000,3292.0000,Won,Won
"Aguilo, Maria Michela ",Governor,,Republican,OPEN SEAT,Traditionally Financed,2026,507390,Terminated,STATE,Female,0.0000,0.0000,,
"Albert, Roger Clarence ",Representative,2,Republican,INCUMBENT,MCEA (Qualified),2024,487598,Terminated,STATE,Male,16999.2000,16999.2000,Won,Won
"Alexander, Nicholas ",Representative,58,Republican,CHALLENGER,Traditionally Financed,2026,511532,Terminated,STATE,,147.7000,147.7100,,
"Allen, Julie M. ",Register Of Probate,,Republican,,Traditionally Financed,2024,492851,Terminated,Knox County,Female,949.5200,949.5200,Won,None
"Alsop, John ",County Commissioner,District 4,Unenrolled,,Traditionally Financed,2026,557734,Active,Somerset County,Male,0.0000,0.0000,,
"Andresen, Suzanne ",Senator,24,Unenrolled,OPEN SEAT,Traditionally Financed,2024,494028,Terminated,STATE,Female,3696.5100,3696.5100,Won,Lost
"Andresen, Suzanne R. ",Representative,49,Republican,OPEN SEAT,MCEA (Pending),2026,556551,Active,STATE,Female,0.0000,0.0000,,
"Andrews, John ",Representative,79,Republican,INCUMBENT,Traditionally Financed,2024,483911,Terminated,STATE,Male,0.0000,0.0000,,
"Andrews, John ",Senator,18,Republican,OPEN SEAT,Traditionally Financed,2026,511546,Active,STATE,Male,8500.0000,3448.0900,,
"Ankeles, Daniel Joseph ",Representative,100,Democratic,INCUMBENT,MCEA (Pending),2026,556563,Active,STATE,,600.0000,0.0000,,
"Ankeles, Daniel Joseph ",Representative,100,Democratic,INCUMBENT,MCEA (Qualified),2024,481679,Terminated,STATE,Male,2430.1300,2430.1300,Won,Won
"Arata, Amy Bradstreet ",Representative,104,Republican,INCUMBENT,MCEA (Qualified),2024,487139,Terminated,STATE,Female,22749.6000,22749.6000,Won,Won
"Archer, Marshall ",Representative,129,Democratic,INCUMBENT,Traditionally Financed,2026,557490,Active,STATE,Male,0.0000,0.0000,,
"Archer, Marshall ",Representative,129,Democratic,OPEN SEAT,Traditionally Financed,2024,487424,Terminated,STATE,Female,6885.0000,6885.0000,Won,Won
"Ardell, Donald James ",Representative,6,Republican,INCUMBENT,Traditionally Financed,2024,487395,Active,STATE,Male,2000.0000,1853.7700,Won,Won
"Arford, Poppy ",Representative,101,Democratic,INCUMBENT,MCEA (Qualified),2024,487230,Terminated,STATE,Female,1510.2000,1510.2000,Won,Won
"Arford, Poppy T. ",Representative,101,Democratic,INCUMBENT,MCEA (Pending),2026,557566,Active,STATE,Female,0.0000,0.0000,,
"August, Stephen M. ",County Commissioner,District 2,Democratic,,Traditionally Financed,2024,487577,Terminated,Sagadahoc County,Male,0.0000,0.0000,Won,Won
"Augustine, Candace T ",Representative,35,Democratic,CHALLENGER,Traditionally Financed,2024,490627,Terminated,STATE,Female,0.0000,0.0000,Won,None
"Austin, Chris P ",Representative,43,Republican,OPEN SEAT,Traditionally Financed,2026,555667,Active,STATE,Male,1186.8000,33.7700,,
"Austin, Susan M ",Representative,105,Republican,CHALLENGER,Traditionally Financed,2024,488424,Active,STATE,Female,14896.5800,8072.5900,Won,Lost
"AVANTAGGIO, WILLIAM MUNSELL ",Judge Of Probate,,Democratic,,Traditionally Financed,2024,484742,Terminated,Lincoln County,Male,5000.0000,5000.0000,Won,Won
"Babin, Mark M ",Representative,3,Republican,INCUMBENT,MCEA (Pending),2026,555071,Terminated,STATE,Male,0.0000,0.0000,,
"Babin, Mark M. ",Representative,3,Republican,INCUMBENT,MCEA (Qualified),2024,484694,Terminated,STATE,Male,7609.6600,7609.6600,Won,Won
"Bagley, Corey Leigh ",Sheriff,,Republican,,Traditionally Financed,2026,507098,Active,Hancock County,Male,4610.0000,4054.1600,,
"Bagshaw, Barbara A. ",Representative,106,Republican,INCUMBENT,MCEA (Qualified),2024,482188,Terminated,STATE,,20163.2100,20163.2100,Won,Won
"Bagshaw, Barbara Anne ",Representative,106,Republican,INCUMBENT,MCEA (Pending),2026,555831,Active,STATE,Female,1000.0000,0.0000,,
"Bailey, Donna ",Senator,31,Democratic,INCUMBENT,MCEA (Pending),2026,555559,Active,STATE,,0.0000,0.0000,,
"Bailey, Donna ",Senator,31,Democratic,INCUMBENT,MCEA (Qualified),2024,484047,Terminated,STATE,,38783.7900,38783.7900,Won,Won
"Baldacci, Joseph M. ",Senator,9,Democratic,INCUMBENT,Traditionally Financed,2024,487231,Active,STATE,Male,44846.2700,44580.3200,Won,Won
"Ballesteros, Alvaro ",Register Of Probate,,Republican,,Traditionally Financed,2024,487986,Terminated,Cumberland County,Male,0.0000,0.0000,,
"Bamford, Norman Edward ",Representative,12,Democratic,CHALLENGER,MCEA (Qualified),2024,487893,Terminated,STATE,Male,9318.0000,9397.0100,Won,Lost
"Barden, Michael Thomas III",Representative,138,Unenrolled,CHALLENGER,Traditionally Financed,2024,493829,Terminated,STATE,Male,0.0000,0.0000,Won,Lost
"Barnes, Alicia ",Representative,66,Democratic,CHALLENGER,Traditionally Financed,2024,489239,Terminated,STATE,Female,0.0000,0.0000,Won,Lost
"Beal, Joan S ",Representative,81,Democratic,OPEN SEAT,MCEA (Qualified),2024,488024,Terminated,STATE,Female,19748.7600,19748.7600,Won,Lost
"Beaudoin (Special), Janet ",Representative,94,Republican,OPEN SEAT,Traditionally Financed,2026,555881,Active,STATE,Female,7316.0000,892.4000,,
"Beaudoin, Janet Inger ",Representative,94,Republican,OPEN SEAT,Traditionally Financed,2026,558204,Active,STATE,Female,0.0000,0.0000,,
"Beck, Matthew D. ",Representative,122,Democratic,INCUMBENT,Traditionally Financed,2026,571455,Active,STATE,Male,0.0000,0.0000,,
"Beck, Matthew D. ",Representative,122,Democratic,INCUMBENT,Traditionally Financed,2024,487447,Terminated,STATE,Male,10889.4800,10889.4800,Won,Won
"Beck, Matthew D. ",Representative,122,Democratic,OPEN SEAT,Traditionally Financed,2024,484002,Terminated,STATE,Male,17533.6900,17533.6900,,
"Beebe-Center, Anne H ",Senator,12,Democratic,INCUMBENT,MCEA (Qualified),2024,487320,Terminated,STATE,Female,61318.0900,61256.6600,Won,Won
"Belanger, Tanya ",Register Of Deeds,,Unenrolled,,Traditionally Financed,2026,568524,Active,Somerset County,Female,0.0000,0.0000,,
"Belanger, Tanya Irene ",Register Of Deeds,,Unenrolled,,Traditionally Financed,2024,498493,Terminated,Somerset County,Female,0.0000,0.0000,,
"Bell, Amy C ",Representative,142,Republican,CHALLENGER,Traditionally Financed,2024,487985,Terminated,STATE,,15507.1700,15507.1700,Won,Lost
"Bell, Arthur L ",Representative,103,Democratic,INCUMBENT,Traditionally Financed,2024,487216,Terminated,STATE,Male,336.0000,336.0000,Won,Won
"Bellows, Shenna ",Governor,,Democratic,OPEN SEAT,Traditionally Financed,2026,507473,Active,STATE,,1073785.6400,515196.9400,None,
"Bennett, Paul Edward ",Senator,34,Unenrolled,OPEN SEAT,MCEA (Pending),2026,555779,Active,STATE,Male,0.0000,0.0000,,
"Bennett, Richard ",Governor,,Unenrolled,OPEN SEAT,Traditionally Financed,2026,511574,Active,STATE,,528570.0000,295446.0900,,None
"Bennett, Richard A. ",Senator,18,Republican,INCUMBENT,MCEA (Qualified),2024,481765,Terminated,STATE,Male,55230.8600,55230.8600,Won,Won
"Bernard, Paul ",Representative,120,Unenrolled,CHALLENGER,Traditionally Financed,2024,494098,Terminated,STATE,Male,0.0000,0.0000,Won,None
"Bernard, Susan ",Senator,1,Republican,OPEN SEAT,MCEA (Qualified),2024,486806,Terminated,STATE,Female,51785.2700,51827.8900,Won,Won
"Bessey, Lawrence E. Jr.",Representative,58,Republican,CHALLENGER,MCEA (Pending),2026,557051,Active,STATE,Male,0.0000,0.0000,,
"Bickford, Bruce ",Senator,20,Republican,INCUMBENT,MCEA (Pending),2026,557839,Active,STATE,Male,0.0000,0.0000,,
"Bickford, Bruce ",Senator,20,Republican,OPEN SEAT,MCEA (Qualified),2024,488968,Terminated,STATE,Male,79773.0400,79773.0400,Won,Won
"Bierman, L Earl ",County Commissioner,District 1,Republican,,Traditionally Financed,2024,488626,Terminated,Hancock County,Male,4975.0000,4975.0000,Lost,None
"Bird, Saige Michele ",Representative,62,Unenrolled,CHALLENGER,MCEA (Pending),2026,568577,Active,STATE,Female,0.0000,0.0000,,
"Bishop, Steven Matthew ",Representative,17,Republican,CHALLENGER,Traditionally Financed,2024,486796,Terminated,STATE,Male,17075.0000,17075.0000,Won,Won
"Bishop, Steven Matthew IV",Representative,17,Republican,INCUMBENT,Traditionally Financed,2026,555590,Active,STATE,Male,4344.5600,221.9000,,
"Black, Russell ",Senator,5,Republican,INCUMBENT,MCEA (Qualified),2024,483830,Terminated,STATE,,38721.5900,38721.5900,Won,Won
"Black, Russell John ",Representative,74,Republican,OPEN SEAT,MCEA (Pending),2026,556013,Active,STATE,Male,0.0000,0.0000,,
"Black, Susan A. ",Register Of Deeds,,Republican,,Traditionally Financed,2026,557674,Active,Franklin County,Female,0.0000,0.0000,,
"Blake, Brian J. ",Representative,68,Democratic,CHALLENGER,Traditionally Financed,2024,489158,Terminated,STATE,Male,6124.5000,6059.2300,Won,Lost
"Blanchard, Jessica Bonafine ",Representative,69,Democratic,CHALLENGER,MCEA (Qualified),2024,496611,Terminated,STATE,Female,7246.8500,7246.8500,,Lost
"Blauvelt, Frank Mawson Jr.",Sheriff,,Republican,,Traditionally Financed,2026,580186,Active,Oxford County,Male,0.0000,0.0000,,
"Blier, Mark J. ",Representative,138,Republican,INCUMBENT,Traditionally Financed,2024,487497,Active,STATE,Male,9449.5800,8425.3300,Won,Won
"Boisse, Marc Anthony ",Representative,141,Republican,OPEN SEAT,Traditionally Financed,2026,543822,Active,STATE,Male,583.0000,583.0000,,
"Bond, Tiffany ",Representative,73,Unenrolled,CHALLENGER,Traditionally Financed,2024,495756,Terminated,STATE,Female,376.6800,376.6800,,Lost
"Bosworth, Elizabeth D. ",Senator,18,Democratic,OPEN SEAT,MCEA (Pending),2026,577695,Active,STATE,Female,0.0000,0.0000,,
"Bouchard, Corey Stephen ",Representative,88,Democratic,CHALLENGER,Traditionally Financed,2026,543914,Active,STATE,Male,0.0000,0.0000,,
"Boucher, Matthew James ",Register Of Deeds,,Republican,,Traditionally Financed,2026,557709,Active,Kennebec County,Male,0.0000,0.0000,,
"Boyd, Joe N ",Representative,55,Republican,CHALLENGER,MCEA (Qualified),2024,488605,Terminated,STATE,Male,6759.8000,6759.8000,Won,Lost
"Boyer, David Wayne Jr.",Representative,87,Republican,INCUMBENT,Traditionally Financed,2026,543682,Active,STATE,Male,12059.2200,1207.8400,,
"Boyer, David Wayne Jr.",Representative,87,Republican,INCUMBENT,Traditionally Financed,2024,483741,Terminated,STATE,Male,19230.8800,19230.8800,Won,Won
"Boyer, Michelle N ",Representative,123,Democratic,INCUMBENT,MCEA (Pending),2026,580865,Active,STATE,Female,0.0000,0.0000,,
"Boyer, Michelle Nicole ",Representative,123,Democratic,OPEN SEAT,MCEA (Qualified),2024,487344,Terminated,STATE,Female,9909.1500,9909.1500,Won,Won
"Boykin, Atiim Bomani ",County Commissioner,District 5,Democratic,,Traditionally Financed,2026,557392,Active,Cumberland County,Male,0.0000,0.0000,,
"Bradstreet, Richard T. ",Senator,15,Republican,OPEN SEAT,MCEA (Qualified),2024,484819,Terminated,STATE,Male,47170.9900,47170.9900,Won,Won
"Brakey, Eric ",Senator,20,Republican,INCUMBENT,Traditionally Financed,2024,481237,Terminated,STATE,Male,3049.9600,3049.9600,None,None
"Brennan, Michael F ",Representative,115,Democratic,INCUMBENT,Traditionally Financed,2024,487994,Terminated,STATE,Male,0.0000,0.0000,Won,Won
"Brenner, Stacy Fielding ",Senator,30,Democratic,INCUMBENT,MCEA (Qualified),2024,485220,Terminated,STATE,Female,59275.9200,59275.9200,Won,Won
"Bridgeo, William R. ",Representative,60,Democratic,INCUMBENT,MCEA (Pending),2026,555803,Active,STATE,Male,0.0000,0.0000,,
"Bridgeo, William Raymond ",Representative,60,Democratic,INCUMBENT,MCEA (Qualified),2024,484298,Terminated,STATE,Male,16842.8100,16842.8100,Won,Won
"Bridgman, Laura T ",Representative,33,Democratic,CHALLENGER,Traditionally Financed,2024,489200,Terminated,STATE,Female,0.0000,0.0000,Won,None
"Brillant, Leon C. ",Representative,51,Republican,OPEN SEAT,Traditionally Financed,2024,488044,Terminated,STATE,Male,245.0000,200.0000,Won,Lost
"Brown, Elise S ",County Commissioner,District 3,Democratic,,Traditionally Financed,2024,487120,Active,Waldo County,Female,3596.9300,3129.1600,Won,None
"Brown, Joseph Thomas ",Representative,31,Democratic,CHALLENGER,Traditionally Financed,2024,487337,Terminated,STATE,Male,3665.5000,3657.4500,Won,Lost
"Brown, Tammy ",Representative,65,Republican,CHALLENGER,Traditionally Financed,2024,488607,Terminated,STATE,Female,0.0000,0.0000,Won,Lost
"Brown, Vincent E ",Representative,49,Republican,CHALLENGER,MCEA (Qualified),2024,491134,Terminated,STATE,Male,4323.6000,4323.6000,Won,Lost
"Brownell, Ethan S ",Senator,3,Democratic,CHALLENGER,MCEA (Qualified),2024,488407,Terminated,STATE,Male,26821.2800,26821.2800,Won,Lost
"Bryant, Bruce S. ",Senator,19,Democratic,OPEN SEAT,MCEA (Qualified),2024,487780,Terminated,STATE,Male,80184.8200,80184.8200,Won,Lost
"Bulay, Susan F ",Register Of Deeds,,Republican,,Traditionally Financed,2026,556606,Active,Penobscot County,Female,0.0000,0.0000,,
"Bunker, Stephan M. ",Representative,75,Democratic,OPEN SEAT,MCEA (Qualified),2024,495993,Terminated,STATE,Male,14910.6300,14910.6300,,Won
"Burnett, Nathan ",Senator,22,Democratic,OPEN SEAT,MCEA (Pending),2026,543921,Active,STATE,Male,1760.0000,20.2000,,
"Burns, David C ",County Commissioner,District 2,Republican,,Traditionally Financed,2024,487823,Terminated,Washington County,Male,0.0000,0.0000,Won,None
"Bush, Jonathan ",Governor,,Republican,OPEN SEAT,Traditionally Financed,2026,554869,Active,STATE,Male,1340951.0000,717809.3400,None,
"Cabot, Benjamin K ",Judge Of Probate,,Unenrolled,,Traditionally Financed,2024,498873,Terminated,Piscataquis County,Male,0.0000,0.0000,,
"Campbell, Daniel E ",Representative,90,Democratic,CHALLENGER,MCEA (Qualified),2024,488410,Terminated,STATE,Male,20025.3100,20025.3100,Won,Lost
"Campbell, Richard H. ",Representative,19,Republican,INCUMBENT,Traditionally Financed,2026,556016,Active,STATE,,0.0000,0.0000,,
"Campbell, Richard H. ",Representative,19,Republican,INCUMBENT,Traditionally Financed,2024,490964,Terminated,STATE,,7232.7100,7232.7100,Won,Won
"Capeci, Michael D. ",Representative,21,Republican,CHALLENGER,Traditionally Financed,2024,488732,Terminated,STATE,Male,0.0000,0.0000,Won,None
"Capron, Kenneth A ",Senator,27,Democratic,CHALLENGER,Traditionally Financed,2024,487373,Terminated,STATE,Male,550.0100,550.0100,Lost,None
"Capron, Kenneth A. ",Governor,,Republican,OPEN SEAT,Traditionally Financed,2026,511200,Active,STATE,Male,3511.3000,3316.8700,None,
"Carlisle, Douglas Colburn Jr.",Representative,5,Republican,CHALLENGER,MCEA (Pending),2026,554855,Active,STATE,Male,0.0000,0.0000,,
"CARLOW, NATHAN M ",Representative,137,Republican,INCUMBENT,Traditionally Financed,2024,488392,Active,STATE,Male,8605.2900,1246.4300,Won,Won
