name,filer_url,filer_id,office,district,party
Aaron Dana,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kj8bcwvpfxs9gnx7ds7v5h55,f_01kj8bcwvpfxs9gnx7ds7v5h55,Senator,6,Unenrolled
Abigail Geer,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkemta5ceeet0vfqnzxf4tm6,f_01kkemta5ceeet0vfqnzxf4tm6,Representative,86,Democratic
Adam Joseph Shaw,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kqw9ypheesfvz8nzde0m69xy,f_01kqw9ypheesfvz8nzde0m69xy,Representative,26,Unenrolled
Adam R. Lee,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdgy2aczf6,f_01k89h8gcjegf9qpwdgy2aczf6,Representative,89,Democratic
Adrienne Paul,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qbjfd3zct,f_01kd8w6ftve6dak61qbjfd3zct,Representative,85,Republican
Alan Lee Orcutt,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zvjnqyhb2,f_01kf4eat87emk8zw7zvjnqyhb2,Representative,37,Democratic
Albert Joy,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kmrnv0tzfshvz99arsnhz34g,f_01kmrnv0tzfshvz99arsnhz34g,Sheriff,-,Unenrolled
Alexander Kenneth Murchison,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdjcrsf6kx,f_01k89h8gcjegf9qpwdjcrsf6kx,Governor,-,Unenrolled
Alexandros Orestis,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdjh195cxy,f_01k89h8gcjegf9qpwdjh195cxy,Representative,150,Democratic
Alfred Frank Schutz,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw806694vrsv,f_01kf4eat87emk8zw806694vrsv,Senator,32,Republican
Alicia Barnes,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7aw325emnss1mkgk76stge,f_01kh7aw325emnss1mkgk76stge,Representative,66,Unenrolled
Alicia Collins,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gchec793758q3df2kqk,f_01k89h8gchec793758q3df2kqk,Representative,61,Republican
Allen Anthony Daggett,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qdf582ryp,f_01kd8w6ftve6dak61qdf582ryp,Representative,134,Unenrolled
Allison Perkins,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kmjvs0z8etxv8z67agwkd6hh,f_01kmjvs0z8etxv8z67agwkd6hh,Representative,71,Democratic
Alphonzo Wagner III,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kn2v0ydhecptc53gcpk8mh26,f_01kn2v0ydhecptc53gcpk8mh26,County Commissioner,1,Republican
Amanda Collamore,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjgfpadxexg90c2ek2tbxz1d,f_01kjgfpadxexg90c2ek2tbxz1d,Representative,68,Republican
Amanda Heath,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh53e0fcejjbpw9eztbr958y,f_01kh53e0fcejjbpw9eztbr958y,Senator,15,Democratic
Ambureen Rana,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7py2t8eptvk536vv6t74av,f_01kh7py2t8eptvk536vv6t74av,Representative,21,Democratic
Amy D. Kuhn,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat85e79st2re6fbvnhaf,f_01kf4eat85e79st2re6fbvnhaf,Representative,111,Democratic
Amy J Roeder,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw805eq8wtes,f_01kf4eat87emk8zw805eq8wtes,Senator,9,Democratic
Amy Leshure,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh54mpjzetdbsge83t58m804,f_01kh54mpjzetdbsge83t58m804,County Commissioner,3,Democratic
Amy M. Ouellette,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdjq274nba,f_01k89h8gcjegf9qpwdjq274nba,Register of Deeds,North,Democratic
Andrew Gattine,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjve1c8tfaeav5bv9g3xmf4x,f_01kjve1c8tfaeav5bv9g3xmf4x,Representative,126,Democratic
Andrew Laverdiere,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kj8r7chtftysh4585hd8v35v,f_01kj8r7chtftysh4585hd8v35v,Representative,21,Republican
Andrew Parker,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khrk63bkfc9v8qct98rjbbxj,f_01khrk63bkfc9v8qct98rjbbxj,Governor,-,Unenrolled
Andrew R. Torbett,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdm13m7rp3,f_01k89h8gcjegf9qpwdm13m7rp3,Representative,31,Republican
Andrew Zarro,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zq9knyrfg,f_01kf4eat87emk8zw7zq9knyrfg,Representative,115,Democratic
"Angus S. King, III",https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdgspj23sn,f_01k89h8gcjegf9qpwdgspj23sn,Governor,-,Democratic
Annalyse Sarvinas,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjx6x0s7ferb3wwth1va070z,f_01kjx6x0s7ferb3wwth1va070z,Representative,51,Republican
Anne Carney,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkq0f05cfr8vp4m31qgf7t43,f_01kkq0f05cfr8vp4m31qgf7t43,Senator,29,Democratic
Anne Graham,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7mxyq2ext9hgbpd5abe40f,f_01kh7mxyq2ext9hgbpd5abe40f,Representative,105,Democratic
Ann Higgins Matlack,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qabe2se84,f_01kd8w6ftve6dak61qabe2se84,Senator,12,Democratic
Annie Christy,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkh53shrepdvrvfw6672kzns,f_01kkh53shrepdvrvfw6672kzns,Representative,123,Republican
Anthony M. Weaver,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kk2107j5f2esb7c3vm6702mt,f_01kk2107j5f2esb7c3vm6702mt,Representative,25,Republican
April Fournier,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khgv684df34r8hv39qv2dx3n,f_01khgv684df34r8hv39qv2dx3n,Representative,114,Democratic
Arlie Hetrick Jr.,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjzxda0wf8pagve0ns51tw12,f_01kjzxda0wf8pagve0ns51tw12,Representative,77,Democratic
Arthur K. Mingo,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkckhq5sexyt8cce350crze9,f_01kkckhq5sexyt8cce350crze9,Representative,9,Republican
Atiim Bomani Boykin,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zzjr6b8q8,f_01kf4eat87emk8zw7zzjr6b8q8,County Commissioner,5,Democratic
Austin Theriault,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kk20ee52fk8rxagvk7gwp6t0,f_01kk20ee52fk8rxagvk7gwp6t0,Representative,1,Republican
Ayn Hanselmann,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kj8g9wepfwcvvr9evsxxerer,f_01kj8g9wepfwcvvr9evsxxerer,Representative,142,Democratic
Azalea Cormier,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khcbzabeetvr2e4yqxtkcagb,f_01khcbzabeetvr2e4yqxtkcagb,Representative,80,Unenrolled
Barbara Ann Cray,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw803cy9a74p,f_01kf4eat87emk8zw803cy9a74p,District Attorney,6th Prosecutorial District Attorney (Knox/Lincoln/Sagadahoc/Waldo),Democratic
Barbara Anne Bagshaw,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zs70f1znk,f_01kf4eat87emk8zw7zs70f1znk,Representative,106,Republican
Benjamin Hymes,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kk233d79f0h97c3x9xyvh6x3,f_01kk233d79f0h97c3x9xyvh6x3,Representative,38,Republican
Benjamin Midgley,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdj35cyd8c,f_01k89h8gcjegf9qpwdj35cyd8c,Governor,-,Republican
Bernard Robert Porter,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw803s9zw88e,f_01kf4eat87emk8zw803s9zw88e,Senator,23,Republican
Beth Seaney,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khveqr7ee5s84yway72ma1tz,f_01khveqr7ee5s84yway72ma1tz,Judge of Probate,-,Republican
Billy Bob Faulkingham,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7rd5bjfyts6f6rnzy853jp,f_01kh7rd5bjfyts6f6rnzy853jp,Senator,6,Republican
Bobby J Mills,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdj6b63r4c,f_01k89h8gcjegf9qpwdj6b63r4c,County Treasurer,-,Democratic
Bradley Moulton,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7pnsy8f6qb2cav67pygv7f,f_01kh7pnsy8f6qb2cav67pygv7f,Representative,146,Republican
Bradley Youngs,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zxf35wt3e,f_01kf4eat87emk8zw7zxf35wt3e,Representative,106,Democratic
Brady Alden Clark,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zxa92m2rk,f_01kf4eat87emk8zw7zxa92m2rk,Representative,44,Republican
Braeden Webber,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh546xgjef49evnsqb3g36an,f_01kh546xgjef49evnsqb3g36an,Representative,99,Republican
Breanna Pinkham Bebb,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khcfhvn8f26thaqp7s6gz65g,f_01khcfhvn8f26thaqp7s6gz65g,County Commissioner,1,Democratic
Bret Martel,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01ktkk3fn7ex2be7aaxr5zrwr8,f_01ktkk3fn7ex2be7aaxr5zrwr8,Representative,95,Republican
Brett Barrett,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kq04mb2dfkfrjc6tehd0w8ad,f_01kq04mb2dfkfrjc6tehd0w8ad,Representative,100,Republican
Brian Ames,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kj8h5wwzenxsm3mdk8j80eth,f_01kj8h5wwzenxsm3mdk8j80eth,Representative,23,Republican
Brianna Lueck,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kp3fa4azfdm8rbczpey8gh6c,f_01kp3fa4azfdm8rbczpey8gh6c,Representative,79,Democratic
Brian Pellerin,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh6k52ejffds70zk9w06p6ad,f_01kh6k52ejffds70zk9w06p6ad,Sheriff,-,Unenrolled
Brian Thomas,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01knb17hzverwt9jb9bmqzzwr8,f_01knb17hzverwt9jb9bmqzzwr8,Judge of Probate,-,Democratic
Bruce Archer,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kmg5m88kevv9sd8y3ygtbae2,f_01kmg5m88kevv9sd8y3ygtbae2,Representative,5,Democratic
Bruce Bickford,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8037vfnx57,f_01kf4eat87emk8zw8037vfnx57,Senator,20,Republican
Caleb Joseph Chase,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw802fs32kqw,f_01kf4eat87emk8zw802fs32kqw,Representative,145,Republican
Caleb Joshua NESS,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qb17c3xm1,f_01kd8w6ftve6dak61qb17c3xm1,Representative,82,Republican
Cameron Reny,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw802r6qsmqj,f_01kf4eat87emk8zw802r6qsmqj,Senator,13,Democratic
Carol Emery,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7r44mhe8c8td90np0n1b1p,f_01kh7r44mhe8c8td90np0n1b1p,Judge of Probate,-,Republican
Cassandra Anne Dove,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kmg22ceqedqb23rhh00b24ed,f_01kmg22ceqedqb23rhh00b24ed,Representative,84,Democratic
Cassie L. Julia,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw808v68x4xe,f_01kf4eat87emk8zw808v68x4xe,Representative,65,Democratic
Catherine Gordon,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khpg6dw8fjssyrmdph7zehyg,f_01khpg6dw8fjssyrmdph7zehyg,Senator,9,Unenrolled
Catherine H Moore,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8079ecg1q7,f_01kf4eat87emk8zw8079ecg1q7,Register of Probate,-,Republican
Chad Richard Perkins,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdjyem3kpv,f_01k89h8gcjegf9qpwdjyem3kpv,Senator,4,Republican
Chad Syphers,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01knpwtd8kedya2qb543bk6y98,f_01knpwtd8kedya2qb543bk6y98,Representative,93,Republican
Charles Edward Tilburg,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0c9fdgtr40,f_01kd8w6ftweefsxt0c9fdgtr40,Representative,137,Democratic
"Charles Hippler, IV",https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh9af49vfg4aa1zk0wwbfqdw,f_01kh9af49vfg4aa1zk0wwbfqdw,Representative,55,Republican
Charlotte Nutt,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zqh9vc9yv,f_01kf4eat87emk8zw7zqh9vc9yv,Representative,48,Democratic
Chelsea Lynds,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kk472nqzfgh8nsqjvq02gzdn,f_01kk472nqzfgh8nsqjvq02gzdn,District Attorney,5th Prosecutorial District Attorney (Penobscot/Piscataquis),Democratic
