filer_name,filer_url,total_contributions,total_monetary_contributions,total_inkind_contributions,total_expenditures,current_cash_balance,current_loan_balance,current_debt_balance,latest_filing_name,latest_filing_date,filing_period_end,scrape_date
Hannah Pingree,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdk7sh8g2x,3039523.78,2929306.73,15159.06,2170179.71,854185.01,70000.00,0.00,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-07-29
Robert B. Charles,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gchec793758ps9e4z21,1334066.66,1091331.38,16293.62,1138749.37,179023.67,220000.00,0.00,42-Day Post-Primary Report,07/22/2026,07/14/2026,2026-07-29
Richard Bennett,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gchec793758p61wtfg5,781017.95,778060.43,2957.52,683869.31,94191.12,0.00,0.00,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-07-29
Aaron Dana,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kj8bcwvpfxs9gnx7ds7v5h55,950.0,950.0,0.0,2180.95,27832.22,0.0,0.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Abigail Geer,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkemta5ceeet0vfqnzxf4tm6,990.0,990.0,0.0,4626.1,6963.88,0.0,0.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Adam Joseph Shaw,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kqw9ypheesfvz8nzde0m69xy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42-Day Post-Primary Report,08/03/2026,07/14/2026,2026-08-04
Adam R. Lee,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdgy2aczf6,18411.5,18411.5,0.0,887.43,17524.07,0.0,0.0,42-Day Post-Primary Report,07/15/2026,07/14/2026,2026-08-04
Adrienne Paul,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qbjfd3zct,1000.0,1000.0,0.0,4701.02,6247.11,0.0,0.0,42-Day Post-Primary MCEA Report,07/22/2026,07/14/2026,2026-08-04
Alan Lee Orcutt,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zvjnqyhb2,1000.0,1000.0,0.0,2734.0,5566.0,0.0,0.0,42-Day Post-Primary MCEA Report,07/28/2026,07/14/2026,2026-08-04
Alexander Kenneth Murchison,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdjcrsf6kx,880.04,880.04,0.0,880.04,0.0,0.0,0.0,42-Day Pre-Primary Report,04/23/2026,04/21/2026,2026-08-04
