"filer_name","race","district","party","list"
"Shenna Bellows","Governor",NA,"Democratic","2026"
"Jonathan Bush","Governor",NA,"Republican","2026"
"Robert Charles","Governor",NA,"Republican","2026"
"Troy Jackson","Governor",NA,"Democratic","2026"
"David Jones","Governor",NA,"Republican","2026"
"Angus King, III","Governor",NA,"Democratic","2026"
"James Libby","Governor",NA,"Republican","2026"
"Garrett Mason","Governor",NA,"Republican","2026"
"Owen McCarthy","Governor",NA,"Republican","2026"
"Benjamin Midgley","Governor",NA,"Republican","2026"
"Hannah Pingree","Governor",NA,"Democratic","2026"
"Nirav Shah","Governor",NA,"Democratic","2026"
"Robert Wessels","Governor",NA,"Republican","2026"
"Lucien Daigle","Senator","1","Republican","2026"
"Vaughn Mclaughlin","Senator","1","Democratic","2026"
"Harold Hull","Senator","2","Democratic","2026"
"Harold Stewart, III","Senator","2","Republican","2026"
"Danny Costain","Senator","3","Republican","2026"
"Stanley Short, Jr.","Senator","3","Democratic","2026"
"Joel Stetkis","Senator","3","Republican","2026"
"Joseph Guerin","Senator","4","Republican","2026"
"Lisa Kalp","Senator","4","Democratic","2026"
"Chad Perkins","Senator","4","Republican","2026"
"Gregory Pierce","Senator","4","Republican","2026"
"Zachary Wood","Senator","4","Republican","2026"
"Elizabeth Caruso","Senator","5","Republican","2026"
"Robert Sullebarger","Senator","5","Democratic","2026"
"Kenneth Davis, Jr.","Senator","6","Republican","2026"
"Billy Faulkingham","Senator","6","Republican","2026"
"Nicole Grohoski","Senator","7","Democratic","2026"
"Cheryl Hewes","Senator","7","Republican","2026"
"Leo Kenney","Senator","8","Republican","2026"
"Michael Tipping","Senator","8","Democratic","2026"
"Amy Roeder","Senator","9","Democratic","2026"
"David Haggan","Senator","10","Republican","2026"
"Kevin O'Connell","Senator","10","Democratic","2026"
"Glenn Curry","Senator","11","Democratic","2026"
"Ryan Otis","Senator","11","Republican","2026"
"Ann Matlack","Senator","12","Democratic","2026"
"Cameron Reny","Senator","13","Democratic","2026"
"Craig Hickman","Senator","14","Democratic","2026"
"Steven McGee","Senator","14","Republican","2026"
"Amanda Heath","Senator","15","Democratic","2026"
"Kati McCormick","Senator","15","Republican","2026"
"Scott Cyrway","Senator","16","Republican","2026"
"Patric Moore","Senator","16","Democratic","2026"
"Jo-Jean Keller","Senator","17","Democratic","2026"
"Richard Mason","Senator","17","Republican","2026"
"Joshua Morris","Senator","17","Republican","2026"
"John Andrews","Senator","18","Republican","2026"
"Elizabeth Bosworth","Senator","18","Democratic","2026"
