filer_name,race,district,party
mana hared abdi,Senator,21,Democratic
jeff adams,Representative,144,Republican
roger clarence albert,Representative,2,Republican
joseph almand,Representative,70,Democratic
brian ames,Representative,23,Republican
suzanne r andresen,Representative,49,Republican
john andrews,Senator,18,Republican
daniel joseph ankeles,Representative,100,Democratic
dana marie appleby,Representative,1,Democratic
bruce archer,Representative,5,Democratic
marshall archer,Representative,129,Democratic
donald james ardell,Representative,6,Republican
poppy t arford,Representative,101,Democratic
devan arnold,Representative,27,Democratic
maureen aucoin,Representative,55,Democratic
chris p austin,Representative,43,Republican
barbara anne bagshaw,Representative,106,Republican
donna bailey,Senator,31,Democratic
john baldwin,Representative,87,Green
alicia barnes,Representative,66,Unenrolled
brett barrett,Representative,100,Republican
janet beaudoin,Representative,94,Republican
wyatt beaulieu,Representative,60,Republican
matthew d beck,Representative,122,Democratic
timothy becker,Representative,83,Democratic
shenna bellows,Governor,NA,Democratic
richard bennett,Governor,NA,Unenrolled
susan bernard,Representative,3,Republican
james berube,Representative,89,Republican
bruce bickford,Senator,20,Republican
steven matthew bishop iv,Representative,17,Republican
russell john black,Representative,74,Republican
jessica bonafine blanchard,Representative,69,Democratic
kenneth blow,Representative,131,Unenrolled
marc anthony boisse,Representative,141,Republican
eric boothroyd,Representative,31,Democratic
elizabeth d bosworth,Senator,18,Democratic
michelle n boyer,Representative,123,Democratic
david wayne boyer jr,Representative,87,Republican
michael brayson,Representative,33,Democratic
william r bridgeo,Representative,60,Democratic
dexter buzz bridges,Representative,58,Republican
clinton brooks,Representative,76,Unenrolled
katie brydon,Representative,23,Democratic
nathan burnett,Senator,22,Democratic
jonathan bush,Governor,NA,Republican
steven butterfield,Representative,55,Democratic
melissa byer,Representative,42,Republican
robert cameron,Representative,121,Democratic
joseph campbell,Representative,107,Democratic
richard h campbell,Representative,19,Republican
kenneth a capron,Governor,NA,Republican
stephen carey,Senator,9,Unenrolled
douglas colburn carlisle jr,Representative,5,Republican
nathan m carlow,Representative,137,Republican
anne carney,Senator,29,Democratic
elizabeth caruso,Senator,5,Republican
frank joseph casella,Representative,21,Republican
quentin chapman,Representative,88,Republican
robert b charles,Governor,NA,Republican
caleb joseph chase,Representative,145,Republican
jason cherry,Governor,NA,Democratic
annie christy,Representative,123,Republican
kenneth james cianchette,Senator,26,Republican
marygrace caroline cimino,Representative,83,Republican
brady alden clark,Representative,44,Republican
kerryl lee clement,Representative,96,Republican
sally jeane cluchey,Representative,52,Democratic
corinna cole,Representative,144,Unenrolled
amanda noelle collamore,Representative,68,Republican
clinton collamore,Representative,45,Unenrolled
alicia c collins,Representative,61,Republican
michelle kathryn conners,Representative,136,Democratic
john j contreni jr,Representative,30,Democratic
madison cook,Representative,39,Democratic
mallory aaren cook,Representative,149,Democratic
mark c cooper,Representative,107,Republican
lynn holland copeland,Representative,130,Democratic
jason lewis copp,Representative,110,Republican
azalea cormier,Representative,80,Unenrolled
danny e costain,Senator,3,Republican
katrina couch raysaulis,Representative,59,Democratic
shanna cox,Senator,21,Democratic
dale john crafts,Representative,97,Republican
scott craig,Representative,135,Unenrolled
jantzen stephen craine,Representative,7,Republican
robin crawley,Representative,61,Democratic
dean a cray,Representative,69,Republican
w edward crockett,Governor,NA,Unenrolled
michael hobart cunningham ii,Representative,13,Democratic
glenn chip curry,Senator,11,Democratic
scott w cyrway,Senator,16,Republican
allen anthony daggett,Representative,134,Unenrolled
lucien daigle,Senator,1,Republican
daniel daley,Representative,10,Republican
aaron dana,Senator,6,Unenrolled
kenneth davis jr,Senator,6,Republican
kristin tyra davis,Representative,145,Democratic
todd michael davis,Representative,130,Unenrolled
kelly dearborn,Representative,108,Republican
flavia m debrito,Representative,64,Democratic
james f dill,Representative,26,Democratic
emily dingman,Representative,91,Democratic
michael dixon,Representative,119,Democratic
shawn m dixon,Representative,67,Republican
scott doherty,Representative,124,Republican
trevor alex doiron,Representative,76,Democratic
jean donovan,Representative,14,Republican
michael dougherty,Representative,120,Republican
cassandra anne dove,Representative,84,Democratic
john e ducharme iii,Representative,71,Republican
jill c duson,Senator,27,Democratic
christopher easton,Representative,81,Democratic
holly rae eaton,Representative,15,Democratic
john michael eder,Representative,136,Republican
marc edwards,Representative,74,Democratic
sean f faircloth,Representative,24,Democratic
jonathan reed fallon,Senator,34,Republican
debora farnham,Representative,35,Democratic
wayne k farrin,Representative,47,Democratic
billy bob faulkingham,Senator,6,Republican
ryan m fecteau,Representative,132,Democratic
ernest fitts iv,Representative,80,Republican
michael sweeny flanagan,Representative,43,Republican
rebecca lynn flood andrews,Representative,141,Democratic
paul r flynn,Representative,63,Republican
clifton foster,Representative,36,Democratic
april fournier,Representative,114,Democratic
kenneth wade fredette,Representative,33,Republican
gary friedmann,Representative,14,Democratic
gordon frohloff,Representative,142,Republican
sharon c frost,Representative,58,Unenrolled
susan fuller,Representative,105,Republican
andrew m gattine,Representative,126,Democratic
randall douglas gauvin,Representative,75,Republican
abigail geer,Representative,86,Democratic
valli d geiger,Representative,42,Democratic
traci l gere,Representative,134,Democratic
joshua d gerritsen,Representative,41,Democratic
irene a gifford,Representative,28,Republican
david giles,Representative,27,Republican
scott girardin,Representative,92,Unenrolled
john michael glowa sr,Governor,NA,Unenrolled
richard marc goldman,Representative,53,Democratic
cheryl a golek,Representative,99,Democratic
anne p graham,Representative,105,Democratic
randall adam greenwood,Representative,56,Republican
nicole c grohoski,Senator,7,Democratic
chester b grover iii,Representative,47,Republican
joseph paul guerin,Senator,4,Republican
stacey kay guerin,Representative,34,Republican
timothy conrad guerrette,Representative,4,Republican
david wayne guilmette,Representative,52,Republican
david g haggan,Senator,10,Republican
kimberly m haggan,Representative,36,Republican
