candidate_name,display_name,race,district,party,finance_type,total_raised
joseph paul guerin,Joseph Guerin,Senator,4,Republican,TF,6225.0
elizabeth caruso,Elizabeth Caruso,Representative,5,Republican,TF,1440.0
jedediah j rice,Jedediah Rice II,Representative,50,,TF,0
gregory l swallow,Gregory L. Swallow,Representative,,,TF,0
mark j blier,Mark J. Blier,Representative,,,TF,0
ann marie fredericks,Ann Marie Fredericks,Representative,,,TF,0
russell p white,Russell White,Representative,13,Republican,MCEA,1000.0
paul r zimmerman,Paul R Zimmerman,Representative,,,TF,0
william look,William Tuell,Representative,10,,TF,0
craig hickman,Craig Hickman,Senator,14,,TF,0
michael j lance,Michael Lance,Representative,79,Republican,TF,250.0
gary friedmann,Gary Friedmann,Representative,14,Democratic,MCEA,3600.0
allen anthony daggett,Allen Daggett,Representative,134,Unenrolled,TF,3626.0
laurel libby,Laurel Libby,Representative,,,TF,0
shukri idris abdirahman,Shukri Idris Abdirahman,Representative,,,TF,0
laurie osher,Laurie Osher,Representative,25,Democratic,MCEA,1370.0
katrina j smith,Katrina Smith,Representative,62,Republican,TF,500.0
reagan leeann paul,Reagan Paul,Representative,37,,TF,0
marygrace caroline cimino,Marygrace Cimino,Representative,83,,TF,0
robert granger,Robert Cameron,Representative,121,,TF,0
susan jane wiswell,Susan Jane Wiswell,Representative,,,TF,0
colby michael lapointe,Colby Michael Lapointe,Representative,,,TF,0
daniel jesse newman,Daniel Jesse Newman,Representative,,,TF,0
jeff timberlake,Jeff Timberlake,Senator,,Republican,TF,1.53
robert w nutting,ROBERT W NUTTING,Representative,,,TF,0
bernard robert porter,Bernard Porter,Senator,23,Republican,TF,295.0
nathan j wadsworth,Nathan J Wadsworth,Representative,,,TF,0
mike soboleski,Michael Soboleski,Representative,73,,TF,0
tiffany strout,Tiffany Strout,Representative,11,,MCEA,0
larry c dunphy,Larry C. Dunphy,Representative,,,TF,0
eric g samson,Eric G. Samson,Representative,,,TF,0
joel r stetkis,Joel Stetkis,Senator,3,Republican,TF,10732.51
bradlee t farrin,Bradlee T. Farrin,Senator,,,TF,0
benjamin charles hymes,Benjamin Hymes,Representative,38,,TF,0
lisa keim,Lisa Keim,Representative,,,TF,0
joseph charles perry,Joseph Charles Perry,Representative,,,TF,0
dean a cray,Dean Cray,Representative,69,,TF,0
wendy lee macdowell,Wendy Lee MacDowell,Representative,,,TF,0
anne carney,Anne Carney,Senator,29,Democratic,TF,2805.0
andre e cushing iii,"Andre E Cushing, III",Representative,,,TF,0
robert a foley,Robert A. Foley,Representative,,,TF,0
stacey k guerin,Stacey K Guerin,Senator,,,TF,0
kenneth blow,Kenneth Blow,Representative,131,,TF,0
jacqueline sartoris,Jacqueline Sartoris,Representative,,,TF,0
mallory aaren cook,Mallory Cook,Representative,149,Democratic,MCEA,1000.0
nicole c grohoski,Nicole Grohoski,Senator,7,Democratic,MCEA,1825.0
charlotte nutt,Charlotte Nutt,Representative,48,Democratic,MCEA,1000.0
joseph edward martin,Joseph Martin,Senator,19,Republican,TF,1100.0
marpheen chann,Marpheen Chann,Representative,,,TF,0
nicolas john hamlin,Nicolas Hamlin,Representative,49,,MCEA,0
scott a harriman special,Scott Harriman,Representative,94,,TF,0
scott allen seekins,Scott Allen Seekins,Representative,,,TF,0
patrick jude,Patrick Jude,Representative,20,,MCEA,0
suzanne m salisbury,Suzanne Salisbury,Representative,128,,TF,0
susan m austin,Susan M Austin,Representative,,,TF,0
nathan m carlow,Nathan Carlow,Representative,137,Republican,TF,1225.0
deqa abdi dhalac,Deqa Abdi Dhalac,Representative,,,TF,0
andrew m gattine,Andrew Gattine,Representative,126,,TF,0
nancy e hammond,Nancy E. Hammond,Representative,,,TF,0
caleb joseph chase,Caleb Chase,Representative,145,Republican,MCEA,995.0
madison cook,Madison Cook,Representative,39,Democratic,MCEA,1000.0
cameron reny,Cameron Reny,Senator,13,Democratic,MCEA,200.0
clinton collamore,Clinton Collamore,Representative,45,Unenrolled,TF,4093.18
matthew james boucher,Matthew James Boucher,Representative,,,TF,0
joseph pietroski,Joseph Pietroski,Representative,,,TF,0
robert andrews,Robert Andrews,Representative,,,TF,0
d michael ray,Michael Ray,Representative,40,Democratic,MCEA,1000.0
tanya belanger,Tanya Belanger,Representative,,,TF,0
lloyd c herrick,Lloyd C. Herrick,Representative,,,TF,0
kevin j joyce,Kevin J. Joyce,Representative,,,TF,0
andrew parker,Andrew Parker,Governor,,,TF,0
alexandros orestis,Alexandros Orestis,Representative,150,Democratic,MCEA,800.0
hannah pingree,Hannah Pingree,Governor,,Democratic,TF,1907115.63
jason g litalien,Jason G Litalien,Senator,,,TF,0
vaughn j mclaughlin,Vaughn McLaughlin,Senator,1,Democratic,MCEA,1634.0
danny e costain,Danny Costain,Senator,3,Republican,TF,3000.0
andrew r torbett,Andrew Torbett,Representative,31,Republican,TF,1350.0
paul r flynn,Paul Flynn,Representative,63,Republican,TF,5650.0
marc g malon ii,Marc Malon II,Representative,133,Democratic,TF,2970.0
michael dubois,Michael Dixon,Representative,119,,TF,0
owen mccarthy,OWEN MCCARTHY,Governor,,Republican,TF,379099.0
brendan kernan williams,Brendan Kernan Williams,Representative,,,TF,0
kristen sarah cloutier,Kristen Sarah Cloutier,Representative,,,TF,0
douglas keith damon,Douglas Keith Damon,Representative,,,TF,0
scott seekins,Scott Seekins,Representative,,,TF,0
roger e densmore iii,"Roger E. Densmore, III",Representative,,,TF,0
richard h campbell,Richard Campbell,Representative,19,,TF,0
edwin m mitchell,Edwin Mitchell Jr.,Senator,13,Unenrolled,MCEA,3000.0
randall adam greenwood,Randall Greenwood,Representative,56,,MCEA,0
kiernan i majeruscollins special,Kiernan Majerus-Collins,Representative,95,,TF,0
james brent kane,James Brent Kane,Representative,,,TF,0
brady alden clark,Brady Clark,Representative,44,Republican,TF,1570.65
dale john crafts,Dale Crafts,Representative,97,,TF,0
susan f bulay,Susan Fuller,Representative,105,,TF,0
louis samuel pfeifle,Samuel Pfeifle,Representative,104,Unenrolled,MCEA,900.0
ray alden thombs jr,Ray Thombs Jr.,Representative,44,,TF,0
benjamin chipman,Benjamin Hymes,Representative,38,,TF,0
caldwell jackson,Caldwell Jackson,Representative,,,TF,0
john g janelle,John G. Janelle,Representative,,,TF,0
daniel lapointe,DANIEL LAPOINTE,Representative,,,TF,0
arthur k mingo,Arthur Mingo,Representative,9,,TF,0
rachel talbot ross,Rachel Talbot Ross,Senator,28,,TF,0
joseph m baldacci,Joseph M. Baldacci,Senator,,,TF,0
randall c hall,Randall C. Hall,Representative,,,TF,0
beth a oconnor,Beth A O'Connor,Representative,,,TF,0
dylan pugh,Dylan Pugh,Representative,,,TF,0
karin orenstein,Karin Orenstein,Representative,103,Democratic,MCEA,1175.0
ann higgins matlack,Ann Matlack,Senator,12,Democratic,MCEA,200.0
david roland mongeau ii,David Mongeau II,Representative,141,,MCEA,0
jantzen stephen craine,Jantzen Craine,Representative,7,Republican,TF,406.15
kenneth wade fredette,Kenneth Fredette,Representative,33,Republican,TF,1000.0
katrina j smith,Katrina Smith,Representative,62,Republican,TF,500.0
randall douglas gauvin,Randall Gauvin,Representative,75,Republican,TF,11055.0
bobby j mills,Bobby J Mills,Representative,,,TF,0
sharon c frost,Sharon Frost,Representative,58,Unenrolled,TF,6910.91
jamie k newton,Jamie Newton,Representative,139,Republican,TF,1300.0
nicole lynn kalloch,Nicole Lynn Kalloch,Senator,,,TF,0
jacqueline anne sartoris,Jacqueline Anne Sartoris,Representative,,,TF,0
neil e mclean jr,"Neil E. McLean, Jr.",Representative,,,TF,0
michelle m kane,Michelle Tucker,Representative,54,,TF,0
victoria porter kornfield,Victoria Kornfield,Representative,23,Democratic,MCEA,725.0
jeff adams,Jeffrey Adams,Representative,144,,TF,0
joshua morris,Joshua Morris,Senator,,,TF,0
matthew moonen,Matthew Moonen,Representative,117,Democratic,TF,750.0
dale p lancaster,Shawn Lancaster,Representative,32,,TF,0
joseph j pietroski jr,"Joseph J. Pietroski, Jr.",Representative,,,TF,0
peter conley wood,Peter Wood,Representative,81,,TF,0
abigail w griffin,Abigail W. Griffin,Representative,,,TF,0
elizabeth a jordan,Elizabeth A. Jordan,Representative,,,TF,0
thomas arthur lavigne,Thomas Lavigne,Representative,148,,TF,0
jamie lee hopkins,Jamie Lee Hopkins,Representative,,,TF,0
margaret wheeler,Margaret Wheeler,Representative,148,,TF,0
frank joseph casella,Frank Casella,Representative,21,Republican,MCEA,1000.0
kristine a poland,Kristine Poland,Representative,46,Unenrolled,MCEA,1000.0
brian thomas,Brian Ames,Representative,23,,TF,0
donald james ardell,Donald Ardell,Representative,6,,TF,0
amanda noelle collamore,Amanda Collamore,Representative,68,,TF,0
tavis rock hasenfus,Tavis Hasenfus,Representative,57,,TF,0
kerryl lee clement,Kerryl Clement,Representative,96,Republican,MCEA,1000.0
john e ducharme iii,John Ducharme III,Representative,71,Republican,TF,5025.0
doris a poland,Doris A Poland,Representative,,,TF,0
john baldwin,John Baldwin,Representative,87,,MCEA,0
shenna bellows,Shenna Bellows,Governor,,Democratic,TF,1584663.72
clinton  brooks,Clinton  Brooks,Representative,,,MCEA,0
charles hippler iv,Charles Hippler IV,Representative,55,Republican,TF,1050.0
katie brydon,Katie Brydon,Representative,23,Democratic,MCEA,1050.0
mary shannon lindstrom,Mary Lindstrom,Representative,124,,MCEA,0
michael tipping,Michael Tipping,Senator,8,Democratic,MCEA,3050.0
diana kushnar,Diana Kushnar,Representative,109,Republican,TF,4437.6
gary gene runnells jr,"Gary Gene Runnells, Jr.",Representative,,,TF,0
michelle conners,Michelle Conners,Representative,136,,MCEA,0
amy leshure,Amy Leshure,Representative,,,TF,0
justin tahai,Justin Tahai,Representative,,,TF,0
marc anthony boisse,Marc Boisse,Representative,141,Republican,TF,1867.72
guy dow,Guy Dow,Representative,,,TF,0
christopher easton,Christopher Easton,Representative,81,,MCEA,0
brian pellerin,Brian Pellerin,Representative,,,TF,0
kevin nichols,Kevin Nichols,Representative,,,TF,0
suzanne salisbury,Suzanne Salisbury,Representative,128,,MCEA,0
jennifer mayher,Jennifer Mayher,Representative,46,,MCEA,0
taylor west,Taylor West,Representative,63,,MCEA,0
john andrews,John Andrews,Senator,18,Republican,TF,9104.48
kristen marie card,Kristen Marie Card,Representative,,,TF,0
elise s brown,Elise S Brown,Representative,,,TF,0
aaron dana,Aaron Dana,Senator,,,MCEA,0
nancy mcdowell,Nancy McDowell,Representative,29,,MCEA,0
sally cluchey,Sally Cluchey,Representative,52,,MCEA,0
james michael michaud,James Michaud,Representative,29,,TF,0
james e thorne,James Thorne,Representative,35,Republican,MCEA,100.0
harold stewart iii,Harold Stewart III,Senator,2,,MCEA,0
ryan morgan,Ryan Morgan,Representative,73,Republican,TF,600.0
rebecca stephens,Rebecca Stephens,Representative,45,Republican,TF,13415.0
michelle tucker,Michelle Tucker,Representative,54,,TF,0
michael dixon,Michael Dixon,Representative,119,Democratic,MCEA,277.0
joschka winterling,Joschka Winterling,Representative,23,Democratic,MCEA,195.0
joseph mclaughlin,Joseph McLaughlin,Representative,40,,TF,0
richard bennett,Richard Bennett,Governor,,Unenrolled,TF,617415.98
maura h pillsbury,Maura Pillsbury,Representative,102,Democratic,MCEA,1000.0
melanie tompkins,Melanie Tompkins,Representative,6,,TF,0
wendy caiazzo,Wendy Caiazzo,Representative,,,TF,0
jonathan bush,Jonathan Bush,Governor,,Republican,TF,1294195.0
john michael glowa sr,"John Michael Glowa, Sr.",Governor,,,TF,0
robert b charles,Robert B. Charles,Governor,,Republican,TF,810890.88
david john jones,David John Jones,Governor,,Republican,TF,489932.78
angus s king iii,"Angus S. King, III",Governor,,Democratic,TF,1126648.2
michael brayson,Michael Brayson,Representative,33,,MCEA,0
james f dill,James Dill,Representative,26,Democratic,MCEA,950.0
mana hared abdi,Mana Abdi,Senator,21,Democratic,MCEA,3108.0
david sinclair,David Sinclair,Representative,50,,MCEA,0
robert j wessels,Robert J. Wessels,Governor,,Republican,TF,35804.54
stephen carey,Stephen Carey,Senator,,,MCEA,0
david giles,David Giles,Representative,27,Republican,TF,820.0
kenneth a capron,Kenneth A. Capron,Governor,,,TF,0
holly rae eaton,Holly Eaton,Representative,15,,MCEA,0
nirav shah,Nirav Shah,Governor,,Democratic,TF,1016244.87
peter g violette,Peter Violette,Senator,26,Republican,MCEA,3000.0
garrett paul mason,Garrett Paul Mason,Governor,,Republican,TF,161581.33
michael sweeny flanagan,Michael Flanagan,Representative,43,Republican,MCEA,1000.0
irene gifford,Irene Gifford,Representative,28,,MCEA,0
michele meyer,Michele Meyer,Senator,35,Democratic,MCEA,6000.0
rebecca lynn flood andrews,Rebecca Flood Andrews,Representative,141,,MCEA,0
todd michael davis,Todd Davis,Representative,130,,MCEA,0
jason cherry,Jason Cherry,Representative,38,Democratic,TF,310.0
michael j nicholson,Michael Nicholson,Representative,39,Republican,TF,2600.0
mark vigliotta,Mark Vigliotta,Senator,33,Democratic,MCEA,60.0
cory raymond,Cory Raymond,Representative,41,Republican,TF,1070.0
gordon powell street,Gordon Street,Representative,28,,MCEA,0
michael hobart cunningham ii,Michael Cunningham II,Representative,13,,MCEA,0
john robert henkelman iii,John Henkelman,Representative,143,Democratic,MCEA,1000.0
suzanne r andresen,Suzanne Andresen,Representative,49,,MCEA,0
matthew a harrington,Matthew Harrington,Senator,33,Republican,TF,4040.0
james lee white,James White,Representative,30,Republican,TF,600.0
shawn leroy lancaster,Shawn Lancaster,Representative,32,Republican,TF,1350.0
scott doherty,Scott Doherty,Representative,124,,TF,0
sean mahoney,Sean Mahoney,Representative,112,Democratic,MCEA,3325.0
robert kelly,Robert Kelly,Representative,131,Democratic,MCEA,1000.0
catherine h moore,Catherine H Moore,Representative,,,TF,0
gail eaton,Gail Eaton,Representative,,,TF,0
nancy jean theriault,Nancy Theriault,Representative,29,,MCEA,0
jacob murray wakem,Jacob Wakem,Representative,119,,TF,0
trevor alex doiron,Trevor Doiron,Representative,76,Democratic,MCEA,1000.0
kristin tyra davis,Kristin Davis,Representative,145,Democratic,MCEA,1000.0
holly taylor sargent,Holly Sargent,Representative,147,Democratic,MCEA,900.0
valli d geiger,Valli Geiger,Representative,42,,MCEA,0
wayne k farrin,Wayne Farrin,Representative,47,Democratic,MCEA,1000.0
tom keefe,Thomas Keefe,Representative,59,,TF,0
gordon frohloff,Gordon Frohloff,Representative,142,,TF,0
kimberly m haggan,Kimberly Haggan,Representative,36,Republican,MCEA,1000.0
