candidate_name,display_name,race,finance_type
gregory l swallow,Gregory L. Swallow,Representative,TF
mark j blier,Mark J. Blier,Representative,TF
ann marie fredericks,Ann Marie Fredericks,Representative,TF
paul r zimmerman,Paul R Zimmerman,Representative,TF
laurel libby,Laurel Libby,Representative,TF
shukri idris abdirahman,Shukri Idris Abdirahman,Representative,TF
susan jane wiswell,Susan Jane Wiswell,Representative,TF
colby michael lapointe,Colby Michael Lapointe,Representative,TF
daniel jesse newman,Daniel Jesse Newman,Representative,TF
jeff timberlake,Jeff Timberlake,Senator,TF
robert w nutting,ROBERT W NUTTING,Representative,TF
nathan j wadsworth,Nathan J Wadsworth,Representative,TF
larry c dunphy,Larry C. Dunphy,Representative,TF
eric g samson,Eric G. Samson,Representative,TF
bradlee t farrin,Bradlee T. Farrin,Senator,TF
lisa keim,Lisa Keim,Representative,TF
joseph charles perry,Joseph Charles Perry,Representative,TF
wendy lee macdowell,Wendy Lee MacDowell,Representative,TF
andre e cushing iii,"Andre E Cushing, III",Representative,TF
robert a foley,Robert A. Foley,Representative,TF
stacey k guerin,Stacey K Guerin,Senator,TF
jacqueline sartoris,Jacqueline Sartoris,Representative,TF
marpheen chann,Marpheen Chann,Representative,TF
scott allen seekins,Scott Allen Seekins,Representative,TF
susan m austin,Susan M Austin,Representative,TF
deqa abdi dhalac,Deqa Abdi Dhalac,Representative,TF
nancy e hammond,Nancy E. Hammond,Representative,TF
matthew james boucher,Matthew James Boucher,Representative,TF
joseph pietroski,Joseph Pietroski,Representative,TF
robert andrews,Robert Andrews,Representative,TF
tanya belanger,Tanya Belanger,Representative,TF
lloyd c herrick,Lloyd C. Herrick,Representative,TF
kevin j joyce,Kevin J. Joyce,Representative,TF
andrew parker,Andrew Parker,Governor,TF
hannah pingree,Hannah Pingree,Governor,TF
jason g litalien,Jason G Litalien,Senator,TF
owen mccarthy,OWEN MCCARTHY,Governor,TF
brendan kernan williams,Brendan Kernan Williams,Representative,TF
kristen sarah cloutier,Kristen Sarah Cloutier,Representative,TF
douglas keith damon,Douglas Keith Damon,Representative,TF
scott seekins,Scott Seekins,Representative,TF
roger e densmore iii,"Roger E. Densmore, III",Representative,TF
james brent kane,James Brent Kane,Representative,TF
