candidate_name,office,district,source_type,total
"SMALL, ERIC",House,01,Individual,12514.0
"WOOD, JORDAN",House,02,Individual,5248827.48
"WOOD, JORDAN",House,02,PAC/Committee,37600.0
"WOOD, JORDAN",House,02,Candidate/Self,17021.92
"WOOD, JORDAN",House,02,Loans,400000.0
"WOOD, JORDAN",House,02,Other,4247.05
"BALDACCI, JOSEPH",House,02,Individual,443068.79
"BALDACCI, JOSEPH",House,02,PAC/Committee,31550.0
"BALDACCI, JOSEPH",House,02,Candidate/Self,6400.0
"BALDACCI, JOSEPH",House,02,Loans,48500.0
"BALDACCI, JOSEPH",House,02,Other,980.92
"GOLDEN, JARED",House,02,Individual,1977625.64
"GOLDEN, JARED",House,02,PAC/Committee,319000.0
"GOLDEN, JARED",House,02,Party Committee,547.83
"GOLDEN, JARED",House,02,Transfers (Own Committees),243810.11
"GOLDEN, JARED",House,02,Other,41591.38
"CLARK, JAMES L.",House,02,Individual,600.0
"RUSSELL, RONALD CHARLES MR.",House,01,Individual,61041.45
"RUSSELL, RONALD CHARLES MR.",House,01,PAC/Committee,819.14
"RUSSELL, RONALD CHARLES MR.",House,01,Candidate/Self,1000.0
"RUSSELL, RONALD CHARLES MR.",House,01,Other,381.89
"ROBERTS, TIFFANY DANIELLE",House,01,Individual,18923.41
"ROBERTS, TIFFANY DANIELLE",House,01,Loans,1127.68
"ROBERTS, TIFFANY DANIELLE",House,01,Other,0.15
"LEPAGE, PAUL",House,02,Individual,1338698.44
"LEPAGE, PAUL",House,02,PAC/Committee,229980.25
"LEPAGE, PAUL",House,02,Party Committee,5000.0
"LEPAGE, PAUL",House,02,Transfers (Own Committees),367791.48
"LEPAGE, PAUL",House,02,Other,100.01
"LOUD, PAIGE",House,02,Individual,17083.44
"LOUD, PAIGE",House,02,PAC/Committee,1000.0
"LOUD, PAIGE",House,02,Candidate/Self,30864.45
"LOUD, PAIGE",House,02,Other,960.0
"DUNLAP, MATT",House,02,Individual,910624.91
"DUNLAP, MATT",House,02,PAC/Committee,10000.0
"DUNLAP, MATT",House,02,Loans,10000.0
"DUNLAP, MATT",House,02,Other,856.63
"PINGREE, CHELLIE M",House,01,Individual,169444.92
"PINGREE, CHELLIE M",House,01,PAC/Committee,206550.0
"PINGREE, CHELLIE M",House,01,Transfers (Own Committees),10742.35
"PINGREE, CHELLIE M",House,01,Other,1448.6
"PIETROWICZ, JOSHUA JAMES",House,01,Individual,7365.3
"PIETROWICZ, JOSHUA JAMES",House,01,Candidate/Self,1169.5
"LAFLAMME, ANDREA",Senate,00,Individual,5989.32
"LAFLAMME, ANDREA",Senate,00,Loans,1750.0
"RODRIGUEZ, DAIRA",Senate,00,Individual,29582.33
"RODRIGUEZ, DAIRA",Senate,00,Candidate/Self,53000.0
"RODRIGUEZ, DAIRA",Senate,00,Loans,160000.0
"RODRIGUEZ, DAIRA",Senate,00,Other,0.01
"CALABRESE, CARMEN VINCENT MR.",Senate,00,Individual,17759.71
"RENCH, PHILLIP",Senate,00,Individual,4632.33
"RENCH, PHILLIP",Senate,00,Candidate/Self,5.43
"RENCH, PHILLIP",Senate,00,Loans,50000.0
"RENCH, PHILLIP",Senate,00,Other,862.04
"EVANS, DAVID ALAN",Senate,00,Individual,6436.72
"PLATNER, GRAHAM",Senate,00,Individual,16109776.14
"PLATNER, GRAHAM",Senate,00,PAC/Committee,174684.37
"PLATNER, GRAHAM",Senate,00,Other,27761.75
"COLLINS, SUSAN M.",Senate,00,Individual,7330108.08
"COLLINS, SUSAN M.",Senate,00,PAC/Committee,985550.0
"COLLINS, SUSAN M.",Senate,00,Party Committee,62000.0
"COLLINS, SUSAN M.",Senate,00,Transfers (Own Committees),3673541.28
"COLLINS, SUSAN M.",Senate,00,Other,113846.4
"MILLS, JANET TRAFTON",Senate,00,Individual,5494457.38
"MILLS, JANET TRAFTON",Senate,00,PAC/Committee,140912.38
"MILLS, JANET TRAFTON",Senate,00,Transfers (Own Committees),115851.94
"MILLS, JANET TRAFTON",Senate,00,Other,87055.53
"KLEBAN, DAN",Senate,00,Individual,244074.58
"KLEBAN, DAN",Senate,00,Candidate/Self,214666.84
"KLEBAN, DAN",Senate,00,Other,45.0
"FAVREAU, TUCKER",Senate,00,Individual,4928.77
"FAVREAU, TUCKER",Senate,00,Candidate/Self,8670.25
"FAVREAU, TUCKER",Senate,00,Other,0.08
