candidate_name,loans,in_kind,transfers,treasury,forgiveness,interest,returned
Aaron Dana (independent),0,0,0,0,0,0,100.0
Adam Lee,0,0,5122.06,0,0,0,0
Alexandros Orestis,0,200.0,0,0,0,0,0
Alicia Collins,0,380.0,0,0,0,1.08,0
Amanda Collamore,0,0,3022.09,0,0,0,0
Amanda Heath,0,0,0,0,0,0,30.0
Amy Roeder,0,0,0,0,0,0,100.0
Andrew Gattine,0,0,1011.31,0,0,0,0
Andrew Laverdiere (not on ballot),0,38.22,0,0,0,0,0
Andrew Torbett,0,0,313.0,0,0,0,0
Angus King III (not on ballot),700000.0,53782.62,0,0,0,0,315.0
Anne Carney,0,0,193.17,0,0,0,5.0
Arthur Mingo,0,0,1705.29,0,0,0,0
Austin Theriault,0,390.35,0,0,0,0,0
Benjamin Hymes,0,0,1137.56,0,0,0,0
Benjamin Midgley (not on ballot),750000.0,32046.0,0,0,0,0,0
Billy Bob Faulkingham,0,0,0,0,0,0,839.41
Bradley Youngs,0,0,0,0,0,1.06,0
Chad Perkins,0,0,150.14,0,0,0,0
Charles Hippler IV,0,400.0,0,0,0,0,0
Craig Hickman,0,0,6024.37,0,0,0,0
Daniel Daley (not on ballot),4465.4,0,0,0,0,0,0
David Boyer Jr.,0,121.64,8234.22,0,0,0,0
David Duguay (independent),5100.0,0,0,0,0,0,0
David Giles,3000.0,0,0,0,0,0,0
David Jones (not on ballot),25000.0,116755.67,0,0,0,158.45,5915.74
David Mongeau II (independent),0,0,0,0,0,0.98,0
Dean Cray,0,0,1698.5,0,0,0,0
"Derek Allen Levasseur (independent, not on ballot)",22500.0,369.8,0,0,0,0,0
Donald Ardell,0,0,146.23,0,0,0,0
Elizabeth Bosworth,0,0,0,0,0,0,100.0
Elizabeth Caruso,0,0,0,0,0,0,100.0
Eric Small (dropped out),0,0,0,0,0,0.04,0
Ethan Mongue,0,141.46,0,0,0,0,0
Flavia DeBrito,0,0,0,0,0,0,100.0
Garrett Paul Mason (not on ballot),50000.0,0,0,0,0,0,0
