"candidate","race","district","party","small_dollar_total","show_on_page","display_name","finance_type"
"aaron dana","Senator","6","Unenrolled",25,"yes","Aaron Dana (independent)","MCEA"
"abigail geer","Representative","86","Democratic",45,"yes","Abigail Geer","MCEA"
"adam r lee","Representative","89","Democratic",780,"yes","Adam Lee","TF"
"alan lee orcutt","Representative","37","Democratic",350,"yes","Alan Orcutt","MCEA"
"alexandros orestis","Representative","150","Democratic",150,"yes","Alexandros Orestis","MCEA"
"alicia c collins","Representative","61","Republican",180,"yes","Alicia Collins","TF"
"amanda heath","Senator","15","Democratic",380,"yes","Amanda Heath","MCEA"
"ambureen rana","Representative","21","Democratic",300,"yes","Ambureen Rana","MCEA"
"amy d kuhn","Representative","111","Democratic",50,"yes","Amy Kuhn","MCEA"
"amy j roeder","Senator","9","Democratic",1305,"yes","Amy Roeder","MCEA"
"andrew m gattine","Representative","126","Democratic",200,"yes","Andrew Gattine","TF"
"andrew zarro","Representative","115","Democratic",545,"yes","Andrew Zarro","TF"
"angus s king iii","Governor",NA,"Democratic",21556.13,"yes","Angus King III (not on ballot)","TF"
"anne carney","Senator","29","Democratic",5,"yes","Anne Carney","TF"
"april fournier","Representative","114","Democratic",305,"yes","April Fournier","TF"
"arlie hetrick jr","Representative","77","Democratic",15,"yes","Arlie Hetrick Jr.","MCEA"
"austin theriault","Representative","1","Republican",1256.38,"yes","Austin Theriault","TF"
"ayn hanselmann","Representative","142","Democratic",200,"yes","Ayn Hanselmann","MCEA"
"azalea cormier","Representative","80","Unenrolled",250,"yes","Azalea Cormier (independent)","MCEA"
"benjamin midgley","Governor",NA,"Republican",3663,"yes","Benjamin Midgley (not on ballot)","TF"
"billy bob faulkingham","Senator","6","Republican",2215,"yes","Billy Bob Faulkingham","TF"
"bradley s moulton","Representative","146","Republican",50,"yes","Bradley Moulton","MCEA"
"braeden webber","Representative","99","Republican",131,"yes","Braeden Webber","MCEA"
"brian ames","Representative","23","Republican",145,"yes","Brian Ames","MCEA"
"brianna lueck","Representative","79","Democratic",50,"yes","Brianna Lueck","MCEA"
"bruce bickford","Senator","20","Republican",145,"yes","Bruce Bickford","MCEA"
"caleb joseph chase","Representative","145","Republican",50,"yes","Caleb Chase","MCEA"
"caleb joshua ness","Representative","82","Republican",125,"yes","Caleb Ness","MCEA"
"cassie l julia","Representative","65","Democratic",150,"yes","Cassie Julia","MCEA"
"chad richard perkins","Senator","4","Republican",144.2,"yes","Chad Perkins","TF"
"charles edward tilburg","Representative","137","Democratic",150,"yes","Charles Tilburg","MCEA"
"charles hippler iv","Representative","55","Republican",150,"yes","Charles Hippler IV","TF"
"cheryl a golek","Representative","99","Democratic",100,"yes","Cheryl Golek","MCEA"
"cheryl hewes","Senator","7","Republican",220.71,"yes","Cheryl Hewes","MCEA"
"chester b grover iii","Representative","47","Republican",50,"yes","Chester Grover III","MCEA"
"chris p austin","Representative","43","Republican",121.54,"yes","Christopher Austin","TF"
"christina rue cork mitchell","Representative","110","Democratic",100,"yes","Christina Mitchell","MCEA"
"christopher easton","Representative","81","Democratic",100,"yes","Christopher Easton","MCEA"
"cory raymond","Representative","41","Republican",120,"yes","Cory Raymond","TF"
"craig v hickman","Senator","14","Democratic",75,"yes","Craig Hickman","TF"
"daniel sayre","Senator","34","Democratic",301,"yes","Daniel Sayre","MCEA"
"daniel simonds","Representative","73","Democratic",100,"yes","Daniel Simonds","MCEA"
"danny e costain","Senator","3","Republican",30,"yes","Danny Costain (not on ballot)","TF"
"david h mccrea","Representative","3","Democratic",150,"yes","David McCrea","MCEA"
"david john jones","Governor",NA,"Republican",3193.25,"yes","David Jones (not on ballot)","TF"
"david roland mongeau ii","Representative","141","Unenrolled",45,"yes","David Mongeau II (independent)","MCEA"
"david wayne boyer jr","Representative","87","Republican",300,"yes","David Boyer Jr.","TF"
"deane rykerson","Senator","35","Democratic",250,"yes","Deane Rykerson (not on ballot)","MCEA"
"denise tepler","Senator","24","Democratic",275,"yes","Denise Tepler","MCEA"
"derek allen levasseur","Governor",NA,"Unenrolled",200,"yes","Derek Allen Levasseur (independent, not on ballot)","TF"
"dexter buzz bridges","Representative","58","Republican",120,"yes","Dexter Bridges","MCEA"
"douglas a thomas","Representative","72","Republican",50,"yes","Douglas Thomas","MCEA"
"edwin m mitchell","Senator","13","Unenrolled",545,"yes","Edwin Mitchell (independent)","MCEA"
"eleanor sato","Senator","30","Democratic",600,"yes","Eleanor Sato (not on ballot)","MCEA"
"elizabeth d bosworth","Senator","18","Democratic",865,"yes","Elizabeth Bosworth","MCEA"
"erik hobson","Representative","48","Republican",100,"yes","Erik Hobson","MCEA"
"eryn soule","Senator","21","Unenrolled",100,"yes","Eryn Soule (independent)","MCEA"
"ethan mongue","Representative","126","Republican",100,"yes","Ethan Mongue","TF"
"flavia m debrito","Representative","64","Democratic",123,"yes","Flavia DeBrito","MCEA"
"frank joseph casella","Representative","21","Republican",100,"yes","Frank Casella","MCEA"
"garrett paul mason","Governor",NA,"Republican",125,"yes","Garrett Paul Mason (not on ballot)","TF"
"glenn chip curry","Senator","11","Democratic",395,"yes","Glenn Curry","MCEA"
"gordon powell street","Representative","28","Democratic",100,"yes","Gordon Street","MCEA"
"grayson benjamin lookner","Representative","113","Democratic",50,"yes","Grayson Lookner","MCEA"
"h scott landry","Representative","75","Democratic",100,"yes","Scott Landry","TF"
"hannah pingree","Governor",NA,"Democratic",91105.05,"yes","Hannah Pingree","TF"
"henry lawrence","Representative","102","Republican",250,"yes","Henry Lawrence III","TF"
"holly rae eaton","Representative","15","Democratic",130,"yes","Holly Eaton","MCEA"
"james f dill","Representative","26","Democratic",275,"yes","James Dill","MCEA"
"james libby","Governor",NA,"Republican",1475,"yes","James Libby (not on ballot)","TF"
"james sorcek","Representative","90","Republican",125,"yes","James Sorcek","MCEA"
"jamie k newton","Representative","139","Republican",150,"yes","Jamie Newton","TF"
"jantzen stephen craine","Representative","7","Republican",165,"yes","Jantzen Craine","TF"
"jason shedlock","Representative","120","Democratic",1798,"yes","Jason Shedlock","TF"
"jeffrey timberlake","Representative","91","Republican",1.53,"yes","Jeffrey Timberlake","TF"
"jessica bonafine blanchard","Representative","69","Democratic",150,"yes","Jessica Blanchard","MCEA"
"joel r stetkis","Senator","3","Republican",442.23,"yes","Joel Stetkis","TF"
"john e ducharme iii","Representative","71","Republican",200,"yes","John Ducharme III","TF"
"jojean keller","Senator","17","Democratic",150,"yes","Jo-Jean Keller","MCEA"
"jonathan reed fallon","Senator","34","Republican",144,"yes","Jonathan Fallon","MCEA"
"joschka winterling","Representative","23","Democratic",20,"yes","Joschka Winterling (not on ballot)","MCEA"
"joseph almand","Representative","70","Democratic",255,"yes","Joseph Almand","MCEA"
"joseph campbell","Representative","107","Democratic",100,"yes","Joseph Campbell","MCEA"
"joseph paul guerin","Senator","4","Republican",50,"yes","Joseph Guerin (not on ballot)","TF"
"julia a g mccabe","Representative","93","Democratic",170,"yes","Julia McCabe","MCEA"
"karen l montell","Representative","54","Democratic",300,"yes","Karen Montell","MCEA"
"katie brydon","Representative","23","Democratic",200,"yes","Katie Brydon (not on ballot)","MCEA"
"katrina couch raysaulis","Representative","59","Democratic",280,"yes","Katrina Couch Ray-Saulis","MCEA"
"katrina j smith","Representative","62","Republican",500,"yes","Katrina Smith","TF"
"kayla miller","Representative","38","Democratic",40,"yes","Kayla Miller","MCEA"
"kenneth davis jr","Senator","6","Republican",50,"yes","Kenneth Davis (not on ballot)","MCEA"
"kenneth james cianchette","Senator","26","Republican",150,"yes","Kenneth Cianchette","TF"
"kimberly j pomerleau","Senator","22","Republican",180,"yes","Kimberly Pomerleau","MCEA"
"kristin tyra davis","Representative","145","Democratic",200,"yes","Kristin Davis","MCEA"
"kristine a poland","Representative","46","Unenrolled",444,"yes","Kristine Poland (independent)","MCEA"
"laurel libby","Representative","90","Republican",8668,"yes","Laurel Libby (dropped out)","TF"
"laurie osher","Representative","25","Democratic",500,"yes","Laurie Osher","MCEA"
"leo christopher kenney","Senator","8","Republican",80,"yes","Leo Kenney","MCEA"
"lisa pratt","Representative","135","Democratic",50,"yes","Lisa Pratt","MCEA"
"louis samuel pfeifle","Representative","104","Unenrolled",100,"yes","Samuel Pfeifle (independent)","MCEA"
"madison cook","Representative","39","Democratic",245,"yes","Madison Cook","MCEA"
"mallory aaren cook","Representative","149","Democratic",200,"yes","Mallory Cook","MCEA"
"marc edwards","Representative","74","Democratic",180,"yes","Marc Edwards","MCEA"
"marc g malon ii","Representative","133","Democratic",750,"yes","Marc Malon II","TF"
"marcus mrowka","Representative","41","Democratic",70,"yes","Marcus Mrowka (not on ballot)","MCEA"
"mark c cooper","Representative","107","Republican",90,"yes","Mark Cooper","MCEA"
"mark frederick zimmer","Representative","150","Republican",20,"yes","Mark Zimmer","MCEA"
"mark vigliotta","Senator","33","Democratic",650,"yes","Mark Vigliotta","MCEA"
"mark walker","Representative","84","Republican",50,"yes","Mark Walker","TF"
"marshall archer","Representative","129","Democratic",10,"yes","Marshall Archer","TF"
"mary shannon lindstrom","Representative","124","Unenrolled",85,"yes","Mary Lindstrom (independent)","MCEA"
