"candidate","entity","total_paid","race","district","party","show_on_page","display_name","finance_type"
"angus s king iii","Cairn Event Consulting, LLC",79500,"Governor",NA,"Democratic","yes","Angus King III","TF"
"angus s king iii","Gusto",62044.88,"Governor",NA,"Democratic","yes","Angus King III","TF"
"angus s king iii","LaFave & Associates",60000,"Governor",NA,"Democratic","yes","Angus King III","TF"
"angus s king iii","Liftoff Campaigns LLC",56708.83,"Governor",NA,"Democratic","yes","Angus King III","TF"
"angus s king iii","Capitol Compliance Associates, Inc.",55710.57,"Governor",NA,"Democratic","yes","Angus King III","TF"
"benjamin midgley","Littlefield Consulting, LLC",83028.26,"Governor",NA,"Republican","yes","Benjamin Midgley","TF"
"benjamin midgley","Capitol & State, LLC",63956.47,"Governor",NA,"Republican","yes","Benjamin Midgley","TF"
"benjamin midgley","Fyre Strategies, LLC",40356,"Governor",NA,"Republican","yes","Benjamin Midgley","TF"
"benjamin midgley","Bierman & Son LLC",31500,"Governor",NA,"Republican","yes","Benjamin Midgley","TF"
"benjamin midgley","FYRE Strategies, LLC",30040.07,"Governor",NA,"Republican","yes","Benjamin Midgley","TF"
"david john jones","David Boyer",60495.79,"Governor",NA,"Republican","yes","David Jones","TF"
"david john jones","conversion creative",32170.2,"Governor",NA,"Republican","yes","David Jones","TF"
"david john jones","Red Surge Strategies",26801.92,"Governor",NA,"Republican","yes","David Jones","TF"
"david john jones","The Voyageur Company",25395,"Governor",NA,"Republican","yes","David Jones","TF"
"david john jones","Ascent Strategic",22573.83,"Governor",NA,"Republican","yes","David Jones","TF"
"derek allen levasseur","James Tracey",6000,"Governor",NA,"Unenrolled",NA,"Derek Allen Levasseur","TF"
"derek allen levasseur","Vista Print",475.72,"Governor",NA,"Unenrolled",NA,"Derek Allen Levasseur","TF"
"derek allen levasseur","Signs on the Cheap",360.7,"Governor",NA,"Unenrolled",NA,"Derek Allen Levasseur","TF"
"derek allen levasseur","Staples",80.13,"Governor",NA,"Unenrolled",NA,"Derek Allen Levasseur","TF"
"derek allen levasseur","Anedot",13.55,"Governor",NA,"Unenrolled",NA,"Derek Allen Levasseur","TF"
"garrett paul mason","PINE POINT CREATIVE",15471,"Governor",NA,"Republican",NA,"Garrett Paul Mason","TF"
"garrett paul mason","SPECTRUM",15205.1,"Governor",NA,"Republican",NA,"Garrett Paul Mason","TF"
"garrett paul mason","DC CONSULTANTS LLC",15000,"Governor",NA,"Republican",NA,"Garrett Paul Mason","TF"
"garrett paul mason","SANDTRAP ASSOCIATES",10000,"Governor",NA,"Republican",NA,"Garrett Paul Mason","TF"
"garrett paul mason","CERBERUS",7584.55,"Governor",NA,"Republican",NA,"Garrett Paul Mason","TF"
"hannah pingree","Bernstein, Shur, Sawyer & Nelson, P. A",103710.07,"Governor",NA,"Democratic","yes","Hannah Pingree","TF"
"hannah pingree","SB Digital Inc",89600,"Governor",NA,"Democratic","yes","Hannah Pingree","TF"
"hannah pingree","Shur, Sawyer & Nelson, P. A Bernstein",78292.26,"Governor",NA,"Democratic","yes","Hannah Pingree","TF"
"hannah pingree","Gusto Inc",76659.27,"Governor",NA,"Democratic","yes","Hannah Pingree","TF"
"hannah pingree","Canal Partners Media",64961,"Governor",NA,"Democratic","yes","Hannah Pingree","TF"
"jonathan bush","SRCP Media",763411,"Governor",NA,"Republican","yes","Jonathan Bush","TF"
"jonathan bush","LFD Strategies LLC",129098.6,"Governor",NA,"Republican","yes","Jonathan Bush","TF"
"jonathan bush","Arena Mail & Digital",97037.8,"Governor",NA,"Republican","yes","Jonathan Bush","TF"
"jonathan bush","Peak Insights LLC",82830,"Governor",NA,"Republican","yes","Jonathan Bush","TF"
"jonathan bush","Eleven17 Consulting LLC",55559,"Governor",NA,"Republican","yes","Jonathan Bush","TF"
"nirav shah","Kayla Van Wieringen",83090.13,"Governor",NA,"Democratic","yes","Nirav Shah","TF"
"nirav shah","Gusto",47594.85,"Governor",NA,"Democratic","yes","Nirav Shah","TF"
"nirav shah","GW Strategies LLC",44000,"Governor",NA,"Democratic","yes","Nirav Shah","TF"
"nirav shah","Kira Leinonen",27767.16,"Governor",NA,"Democratic","yes","Nirav Shah","TF"
"nirav shah","Evergreen Strategies",25067.38,"Governor",NA,"Democratic","yes","Nirav Shah","TF"
"owen mccarthy","JIM BARNETT",64000,"Governor",NA,"Republican","yes","Owen McCarthy","TF"
"owen mccarthy","STRATEGIC PARTNERS & MEDIA",40000,"Governor",NA,"Republican","yes","Owen McCarthy","TF"
"owen mccarthy","SAMUEL SHAVER",29244.33,"Governor",NA,"Republican","yes","Owen McCarthy","TF"
"owen mccarthy","RED CURVE SOLUTIONS",19177.58,"Governor",NA,"Republican","yes","Owen McCarthy","TF"
"owen mccarthy","XPERT LOBBY",18125.7,"Governor",NA,"Republican","yes","Owen McCarthy","TF"
"richard bennett","Kaitlin LaCasse",109779.19,"Governor",NA,"Unenrolled","yes","Richard Bennett","TF"
"richard bennett","Sue Fothergill",60419.46,"Governor",NA,"Unenrolled","yes","Richard Bennett","TF"
"richard bennett","Election Hive",55000,"Governor",NA,"Unenrolled","yes","Richard Bennett","TF"
"richard bennett","K. LaCasse Consulting",44000,"Governor",NA,"Unenrolled","yes","Richard Bennett","TF"
"richard bennett","Omnium Advocacy, LLC",30797.6,"Governor",NA,"Unenrolled","yes","Richard Bennett","TF"
"robert b charles","Harris Media, LLC",110614.64,"Governor",NA,"Republican","yes","Robert Charles","TF"
"robert b charles","Fulfillment Solutions Inc.",74514.98,"Governor",NA,"Republican","yes","Robert Charles","TF"
"robert b charles","Imperium Fundraising, LLC",53840.2,"Governor",NA,"Republican","yes","Robert Charles","TF"
"robert b charles","Meta",44080.53,"Governor",NA,"Republican","yes","Robert Charles","TF"
"robert b charles","Joel Stetkis",43939.5,"Governor",NA,"Republican","yes","Robert Charles","TF"
"robert j wessels","Signs on the Cheap",3746.78,"Governor",NA,"Republican","yes","Robert Wessels","TF"
