"candidate","race","district","party","tot_con_per_cand","show_on_page","display_name","finance_type"
"hannah pingree","Governor",NA,"Democratic",2432116.4,"yes","Hannah Pingree","TF"
"shenna bellows","Governor",NA,"Democratic",1672883.28,"yes","Shenna Bellows (not on ballot)","TF"
"jonathan bush","Governor",NA,"Republican",1447420,"yes","Jonathan Bush (not on ballot)","TF"
"nirav shah","Governor",NA,"Democratic",1246868.85,"yes","Nirav Shah (not on ballot)","TF"
"angus s king iii","Governor",NA,"Democratic",1194028.86,"yes","Angus King III (not on ballot)","TF"
"troy dale jackson","Governor",NA,"Democratic",912130.76,"yes","Troy Jackson (not on ballot)","TF"
"robert b charles","Governor",NA,"Republican",792720.92,"yes","Robert Charles","TF"
"richard bennett","Governor",NA,"Unenrolled",688181.97,"yes","Richard Bennett (independent)","TF"
"david john jones","Governor",NA,"Republican",499329.22,"yes","David Jones (not on ballot)","TF"
"owen mccarthy","Governor",NA,"Republican",386477.21,"yes","Owen McCarthy (not on ballot)","TF"
"benjamin midgley","Governor",NA,"Republican",337168,"yes","Benjamin Midgley (not on ballot)","TF"
"garrett paul mason","Governor",NA,"Republican",175753.68,"yes","Garrett Paul Mason (not on ballot)","TF"
"robert j wessels","Governor",NA,"Republican",44638.19,"yes","Robert Wessels (not on ballot)","TF"
"james libby","Governor",NA,"Republican",15259.7,"yes","James Libby (not on ballot)","TF"
"w edward crockett","Governor",NA,"Unenrolled",8835,"yes","Edward Crockett (independent, not on ballot)","TF"
"derek allen levasseur","Governor",NA,"Unenrolled",1150,"yes","Derek Allen Levasseur (independent, not on ballot)","TF"
"john michael glowa sr","Governor",NA,"Unenrolled",1150,"yes","John Glowa Sr. (independent, not on ballot)","TF"
"andrew parker","Governor",NA,"Unenrolled",0,"yes","Andrew Parker (independent, not on ballot)","TF"
"austin theriault","Representative",1,"Republican",26685.78,"yes","Austin Theriault","TF"
"dana marie appleby","Representative",1,"Democratic",0,"yes","Dana Appleby (dropped out)","TF"
"roger clarence albert","Representative",2,"Republican",1000,"yes","Roger Albert","TF"
"roland daniel martin","Representative",2,"Democratic",600,"yes","Roland Martin","MCEA"
"susan bernard","Representative",3,"Republican",4550,"yes","Susan Bernard","TF"
"david h mccrea","Representative",3,"Democratic",850,"yes","David McCrea","MCEA"
"jack mccarthy","Representative",3,"Republican",0,"yes","Jack McCarthy (not on ballot)","TF"
"timothy conrad guerrette","Representative",4,"Republican",0,"yes","Timothy Guerrette","MCEA"
"douglas colburn carlisle jr","Representative",5,"Republican",1000,"yes","Douglas Carlisle Jr.","MCEA"
"bruce archer","Representative",5,"Democratic",0,"yes","Bruce Archer (dropped out)","MCEA"
"melanie ann tompkins","Representative",6,"Democratic",0,"yes","Melanie Tompkins","TF"
"donald james ardell","Representative",6,"Republican",0,"yes","Donald Ardell","TF"
"matthew rush","Representative",7,"Democratic",2070,"yes","Matthew Rush","MCEA"
"jantzen stephen craine","Representative",7,"Republican",981.15,"yes","Jantzen Craine","TF"
"tracy lynn quint","Representative",8,"Republican",1200,"yes","Tracy Quint","TF"
"nicole richards","Representative",9,"Democratic",0,"yes","Nicole Richards","MCEA"
"arthur k mingo","Representative",9,"Republican",0,"yes","Arthur Mingo","TF"
"daniel daley","Representative",10,"Republican",400,"yes","Daniel Daley (not on ballot)","TF"
"william r tuell","Representative",10,"Republican",400,"yes","William Tuell","MCEA"
"genevieve lemire","Representative",10,"Democratic",175,"yes","Genevieve Lemire","MCEA"
"keith newman","Representative",11,"Democratic",160,"yes","Keith Newman","MCEA"
"tiffany strout","Representative",11,"Republican",0,"yes","Tiffany Strout","MCEA"
"thomas hart","Representative",12,"Republican",600,"yes","Thomas Hart","TF"
"russell p white","Representative",13,"Republican",1000,"yes","Russell White","MCEA"
"michael hobart cunningham ii","Representative",13,"Democratic",650,"yes","Michael Cunningham II","MCEA"
"gary friedmann","Representative",14,"Democratic",5300,"yes","Gary Friedmann","MCEA"
"jean donovan","Representative",14,"Republican",146,"yes","Jean Donovan (dropped out)","TF"
"holly rae eaton","Representative",15,"Democratic",530,"yes","Holly Eaton","MCEA"
"nina a milliken","Representative",16,"Democratic",1000,"yes","Nina Milliken","MCEA"
"eric white","Representative",16,"Republican",0,"yes","Eric White","TF"
"steven matthew bishop iv","Representative",17,"Republican",13010,"yes","Steven Bishop","TF"
"ronald b russell","Representative",17,"Democratic",0,"yes","Ronald Russell","TF"
"mathew david mcintyre","Representative",18,"Republican",3000,"yes","Mathew McIntyre","TF"
"jonathan goble","Representative",18,"Democratic",1115.54,"yes","Jonathan Goble","TF"
"richard h campbell","Representative",19,"Republican",0,"yes","Richard Campbell","TF"
"david ulrich","Representative",19,"Democratic",0,"yes","David Ulrich","MCEA"
"dani ohalloran","Representative",20,"Democratic",1000,"yes","Dani O'Halloran","MCEA"
"patrick a jude","Representative",20,"Republican",0,"yes","Patrick Jude","MCEA"
"ambureen rana","Representative",21,"Democratic",1000,"yes","Ambureen Rana","MCEA"
"frank joseph casella","Representative",21,"Republican",1000,"yes","Frank Casella","MCEA"
"andrew laverdiere","Representative",21,"Republican",100,"yes","Andrew Laverdiere (not on ballot)","TF"
"laura danielle supica","Representative",22,"Democratic",750,"yes","Laura Supica","TF"
"colleen t oneal","Representative",22,"Republican",0,"yes","Colleen O'Neal","TF"
"brian ames","Representative",23,"Republican",1050,"yes","Brian Ames","MCEA"
"katie brydon","Representative",23,"Democratic",1050,"yes","Katie Brydon (not on ballot)","MCEA"
"joschka winterling","Representative",23,"Democratic",792.27,"yes","Joschka Winterling (not on ballot)","MCEA"
"victoria porter kornfield","Representative",23,"Democratic",700,"yes","Victoria Kornfield","MCEA"
"sean f faircloth","Representative",24,"Democratic",900,"yes","Sean Faircloth","MCEA"
"laurie osher","Representative",25,"Democratic",2555,"yes","Laurie Osher","MCEA"
"anthony m weaver","Representative",25,"Republican",0,"yes","Anthony Weaver","MCEA"
"james f dill","Representative",26,"Democratic",950,"yes","James Dill","MCEA"
"edward l paradis","Representative",26,"Republican",0,"yes","Edward Paradis (dropped out)","TF"
"adam shaw","Representative",26,"Unenrolled",0,"yes","Adam Shaw (independent)","TF"
"david giles","Representative",27,"Republican",850,"yes","David Giles","TF"
"devan arnold","Representative",27,"Democratic",310,"yes","Devan Arnold","MCEA"
"gordon powell street","Representative",28,"Democratic",1290,"yes","Gordon Street","MCEA"
"irene a gifford","Representative",28,"Republican",0,"yes","Irene Gifford","MCEA"
"nancy mcdowell","Representative",29,"Democratic",985,"yes","Nancy McDowell","MCEA"
"nancy mcdowellspecial","Representative",29,"Democratic",950,"yes","Nancy McDowell (special election)","MCEA"
"nancy jean theriault","Representative",29,"Republican",525,"yes","Nancy Theriault","MCEA"
"nancy theriaultspecial","Representative",29,"Republican",0,"yes","Nancy Theriault (special election)","TF"
"james michael michaud","Representative",29,"Republican",0,"yes","James Michaud (not on ballot)","TF"
"james lee white","Representative",30,"Republican",600,"yes","James White","TF"
"john j contreni jr","Representative",30,"Democratic",0,"yes","John Contreni, Jr.","TF"
"eric boothroyd","Representative",31,"Democratic",625,"yes","Eric Boothroyd","TF"
"andrew r torbett","Representative",31,"Republican",500,"yes","Andrew Torbett","TF"
"shawn leroy lancaster","Representative",32,"Republican",500,"yes","Shawn Lancaster","TF"
"kenneth wade fredette","Representative",33,"Republican",2100,"yes","Kenneth Fredette","TF"
"michael brayson","Representative",33,"Democratic",42.54,"yes","Michael Brayson","MCEA"
"stacey kay guerin","Representative",34,"Republican",3630.65,"yes","Stacey Guerin","TF"
"james mcclymer","Representative",34,"Democratic",0,"yes","James McClymer","TF"
"james e thorne","Representative",35,"Republican",100,"yes","James Thorne","MCEA"
"debora farnham","Representative",35,"Democratic",0,"yes","Debora Farnham","MCEA"
"kimberly m haggan","Representative",36,"Republican",1000,"yes","Kimberly Haggan","MCEA"
"clifton foster","Representative",36,"Democratic",0,"yes","Clifton Foster III","MCEA"
"reagan leeann paul","Representative",37,"Republican",15275,"yes","Reagan Paul","TF"
"alan lee orcutt","Representative",37,"Democratic",950,"yes","Alan Orcutt","MCEA"
"kayla miller","Representative",38,"Democratic",900,"yes","Kayla Miller","MCEA"
"jason cherry","Representative",38,"Democratic",310,"yes","Jason Cherry (not on ballot)","TF"
"benjamin charles hymes","Representative",38,"Republican",300,"yes","Benjamin Hymes","TF"
"michael j nicholson","Representative",39,"Republican",2850,"yes","Michael Nicholson","TF"
"madison cook","Representative",39,"Democratic",1000,"yes","Madison Cook","MCEA"
"joseph milton mclaughlin","Representative",40,"Republican",1150,"yes","Joseph McLaughlin","TF"
"d michael ray","Representative",40,"Democratic",1000,"yes","Michael Ray","MCEA"
"cory raymond","Representative",41,"Republican",1070,"yes","Cory Raymond","TF"
"marcus mrowka","Representative",41,"Democratic",1070,"yes","Marcus Mrowka (not on ballot)","MCEA"
"joshua d gerritsen","Representative",41,"Democratic",1000,"yes","Joshua Gerritsen","MCEA"
"melissa byer","Representative",42,"Republican",555,"yes","Melissa Byer","TF"
"valli d geiger","Representative",42,"Democratic",0,"yes","Valli Geiger","MCEA"
"chris p austin","Representative",43,"Republican",4779.74,"yes","Christopher Austin","TF"
"rhiannon hampson","Representative",43,"Democratic",2870,"yes","Rhiannon Hampson","TF"
"michael sweeny flanagan","Representative",43,"Republican",1000,"yes","Michael Flanagan (not on ballot)","MCEA"
"peter q jenks","Representative",43,"Democratic",1000,"yes","Peter Jenks (dropped out)","MCEA"
"ray thombs","Representative",44,"Republican",8319.8,"yes","Ray Thombs","TF"
"shawn saindon","Representative",44,"Unenrolled",1013.84,"yes","Shawn Saindon (independent)","MCEA"
"brady alden clark","Representative",44,"Republican",0,"yes","Brady Clark (not on ballot)","TF"
"rebecca stephens","Representative",45,"Republican",18040,"yes","Rebecca Stephens","TF"
"clinton collamore","Representative",45,"Unenrolled",3756.18,"yes","Clinton Collamore (independent)","TF"
"jennifer mayher","Representative",46,"Democratic",1000,"yes","Jennifer Mayher","MCEA"
"kristine a poland","Representative",46,"Unenrolled",1000,"yes","Kristine Poland (independent)","MCEA"
"wayne k farrin","Representative",47,"Democratic",1000,"yes","Wayne Farrin","MCEA"
"chester b grover iii","Representative",47,"Republican",850,"yes","Chester Grover III","MCEA"
"charlotte nutt","Representative",48,"Democratic",1000,"yes","Charlotte Nutt","MCEA"
"erik hobson","Representative",48,"Republican",1000,"yes","Erik Hobson","MCEA"
"nicolas john hamlin","Representative",49,"Republican",1000,"yes","Nicolas Hamlin (not on ballot)","MCEA"
"suzanne r andresen","Representative",49,"Republican",1000,"yes","Suzanne Andresen","MCEA"
"trent vellella","Representative",49,"Democratic",925,"yes","Trent Vellella","MCEA"
"david a sinclair","Representative",50,"Democratic",0,"yes","David Sinclair","MCEA"
"jedediah j rice","Representative",50,"Republican",0,"yes","Jedediah Rice II","TF"
"annalyse sarvinas","Representative",51,"Republican",1000,"yes","Annalyse Sarvinas","MCEA"
"rafael leo macias","Representative",51,"Democratic",700,"yes","Rafael Macias","MCEA"
"louis larios","Representative",51,"Republican",0,"yes","Louis Larios (dropped out)","TF"
