"candidate","tot_exp","race","district","party","show_on_page","display_name","finance_type"
"jonathan bush",1624223.72,"Governor",NA,"Republican","yes","Jonathan Bush","TF"
"hannah pingree",898114.2,"Governor",NA,"Democratic","yes","Hannah Pingree","TF"
"shenna bellows",858540.53,"Governor",NA,"Democratic","yes","Shenna Bellows","TF"
"angus s king iii",835900.12,"Governor",NA,"Democratic","yes","Angus King III","TF"
"troy dale jackson",621961.61,"Governor",NA,"Democratic","yes","Troy Jackson","TF"
"robert b charles",575330.79,"Governor",NA,"Republican","yes","Robert Charles","TF"
"richard bennett",502432.88,"Governor",NA,"Unenrolled","yes","Richard Bennett","TF"
"nirav shah",390018.15,"Governor",NA,"Democratic","yes","Nirav Shah","TF"
"benjamin midgley",349770.12,"Governor",NA,"Republican","yes","Benjamin Midgley","TF"
"david john jones",337424.35,"Governor",NA,"Republican","yes","David Jones","TF"
"owen mccarthy",264699.95,"Governor",NA,"Republican","yes","Owen McCarthy","TF"
"garrett paul mason",76061.44,"Governor",NA,"Republican","yes","Garrett Paul Mason","TF"
"robert j wessels",29028.39,"Governor",NA,"Republican","yes","Robert Wessels","TF"
"john michael glowa sr",19356,"Governor",NA,"Unenrolled","yes","John Michael Glowa, Sr.","TF"
"w edward crockett",5433.56,"Governor",NA,"Unenrolled","yes","W. Edward Crockett","TF"
"austin theriault",238.38,"Representative",1,"Republican","yes","Austin Theriault","TF"
"roland daniel martin",590,"Representative",2,"Democratic","yes","Roland Martin","MCEA"
"david h mccrea",950,"Representative",3,"Democratic","yes","David McCrea","MCEA"
"douglas colburn carlisle jr",950.28,"Representative",5,"Republican","yes","Douglas C. Carlisle Jr.","MCEA"
"jantzen stephen craine",3022.49,"Representative",7,"Republican","yes","Jantzen Craine","TF"
"matthew rush",1000,"Representative",7,"Democratic","yes","Matthew Rush","MCEA"
"daniel daley",3728.31,"Representative",10,"Republican","yes","Daniel Daley","TF"
"russell p white",1000,"Representative",13,"Republican","yes","Russell White","MCEA"
"nina a milliken",964.41,"Representative",16,"Democratic","yes","Nina Milliken","MCEA"
