candidate_name,mcea_public_funding
Adrienne Paul,3323.13
Alan Orcutt,675.0
Alexandros Orestis,673.34
Amanda Heath,2646.05
Ambureen Rana,661.92
Amy Kuhn,674.81
Amy Roeder,2650.0
Ann Matlack,2650.0
Annalyse Sarvinas,660.99
Arlie Hetrick Jr.,635.0
Ayn Hanselmann,672.47
Azalea Cormier (independent),675.0
Barbara Bagshaw,675.0
Bradley Moulton,658.0
Bradley Youngs,674.97
Brian Ames,674.76
Brianna Lueck,662.73
Bruce Bickford,2650.0
Caleb Chase,650.32
Caleb Ness,674.99
Cameron Reny,2643.37
Cassie Julia,646.45
Charles Tilburg,670.54
Charlotte Nutt,662.22
Cheryl Golek,665.09
Cheryl Hewes,2650.0
Chester Grover III,671.86
Christina Mitchell,671.95
Christopher Easton,674.92
Christopher Lewey,674.44
Clinton Phinney Jr. (not on ballot),3325.0
Corinna Cole (independent),674.25
Cynthia Soma-Hernandez,627.72
Dana Staples,675.0
Dani O'Halloran,672.0
Daniel Ankeles,650.88
Daniel Sayre,2650.0
David Guilmette,660.72
David Haggan,2650.0
David McCrea,675.0
David Mongeau II (independent),616.58
Dean LePage,675.0
Deane Rykerson (not on ballot),13217.98
Denise Tepler,2650.0
Dexter Bridges,3325.0
Donna Bailey,2481.46
Douglas Carlisle Jr.,625.28
Douglas Thomas,675.0
Edwin Mitchell (independent),1943.18
Eleanor Sato (not on ballot),13249.56
Elizabeth Bosworth,2649.5
Elizabeth Caruso,2564.0
Eric Nathanson,653.58
Erik Hobson,675.0
Eryn Soule (independent),2629.02
Frank Casella,3325.0
Gary Friedmann,675.0
Glenn Curry,2647.97
Gordon Street,666.95
Grayson Lookner,666.0
Harold Stewart III,2650.0
Henry Ingwersen,2646.81
Holly Eaton,675.0
Holly Sargent,665.37
Irene Gifford,675.0
James Dill,675.0
James Sorcek,668.56
James Thorne,575.0
Jennifer Mayher,663.26
Jill Duson,2240.7
Jo-Jean Keller,2649.94
John Henkelman,674.37
John Reny,675.0
Jonathan Fallon,2626.69
Joseph Almand,675.0
Joshua Gerritsen,3277.55
Julia McCabe,674.49
Julie Rakic,2528.02
Karen Montell,665.0
Karin Orenstein,674.88
Kati McCormick,2509.35
Katie Brydon (not on ballot),3325.0
Katrina Couch Ray-Saulis,3325.0
Kayla Miller,3325.0
Kenneth Davis (not on ballot),13233.09
Kerryl Clement,674.63
Kilton Webb,629.65
Kimberly Haggan,675.0
Kimberly Pomerleau,2637.54
Kirstan Watson,670.15
Kristi Mathieson,675.0
Kristin Davis,675.0
Kristine Poland (independent),666.95
Laurie Osher,675.0
Leo Kenney,2636.27
Lisa Pratt,3324.86
Lucien Daigle,2648.3
Luke Jensen,675.0
Madison Cook,674.49
Mallory Cook,674.94
Mana Abdi (not on ballot),13250.0
Marcus Mrowka (not on ballot),3324.61
Mark Cooper,675.0
Mark Vigliotta,2649.16
Mark Zimmer,675.0
Mary Lindstrom (independent),673.29
Matthew Rush,675.0
Matthew Townsend,675.0
Maura Pillsbury,672.44
Maureen AuCoin,3321.4
Michael Cunningham II,675.0
Michael Dixon,675.0
Michael Perkins,675.0
Michael Ray,667.23
Michael Scott,2650.0
Michael Tipping,2650.0
Michele Meyer,13245.63
Michelle Boyer,675.0
Nancy McDowell,671.83
Nancy McDowell (special election),8274.63
Nancy Theriault,3298.25
Nathan Burnett,2649.87
Nicolas Hamlin (not on ballot),3321.46
Nicole Grohoski,2648.44
Nina Milliken,639.41
Pamela Hart,675.0
Pamela Swift,675.0
Parnell Terry,675.0
Patric Moore,2649.78
Patrick Jude,600.0
Paul Welch,674.0
Peter Jenks (dropped out),3250.29
Peter Southam,2650.0
Poppy Arford,675.0
Rachel Phipps (not on ballot),3325.0
Randall Greenwood,675.0
Rebecca Flood Andrews,674.14
Robert Kelly,674.4
Robert Sullebarger,2649.98
Roland Martin,665.0
Russell Black,668.0
Russell White,675.0
Ryan Otis,2645.0
Sally Cluchey,675.0
Samuel Pfeifle (independent),668.28
Samuel Zager,675.0
Scott Craig (independent),675.0
Scott Cyrway,2616.39
Scott Harriman,675.0
Sean Faircloth,675.0
Sean Mahoney,675.0
Sheila Lyman,675.0
Sophia Warren,13201.32
Stephen Carey (independent),2625.19
Steven Butterfield (not on ballot),3305.77
Suzanne Andresen,3318.0
Suzanne Salisbury,675.0
Tammy Schmersal-Burgess,675.0
Taylor West,673.01
Tiffany Strout,675.0
Timothy Becker,674.47
Timothy Guerrette,675.0
Timothy Nangle,2640.0
Todd Davis (independent),669.43
Traci Gere,675.0
Trent Vellella,670.18
Trevor Doiron,674.71
Valli Geiger,675.0
Vaughn McLaughlin,2591.0
Walter Runte Jr.,675.0
Wayne Farrin,675.0
William Bridgeo,671.0
William St. Michel,3324.0
William Tuell,3225.0
Woodleigh Hughes,675.0
Wyatt Beaulieu,675.0
Zachary Lejonhud (independent),666.75
Zachary Wood (not on ballot),13200.9
