"candidate_name","office","district","contributor_name","platform_total"
"BALDACCI, JOSEPH","House","02","ActBlue",154663
"COLLINS, SUSAN M.","Senate","00","WinRed",1972165.11
"DUNLAP, MATT","House","02","ActBlue",50138516.7
"FAVREAU, TUCKER","Senate","00","ActBlue",3750
"GOLDEN, JARED","House","02","ActBlue",781732.98
"KLEBAN, DAN","Senate","00","ActBlue",194725
"LEPAGE, PAUL","House","02","WinRed",16604.51
"LOUD, PAIGE","House","02","ActBlue",8143.26
"MILLS, JANET TRAFTON","Senate","00","ActBlue",2572204.56
"PINGREE, CHELLIE M","House","01","ActBlue",53597
"PLATNER, GRAHAM","Senate","00","ActBlue",5535261.24
"RODRIGUEZ, DAIRA","Senate","00","ActBlue",21543.33
"RUSSELL, RONALD CHARLES MR.","House","01","WinRed",37723.61
"WOOD, JORDAN","House","02","ActBlue",1419873.36
