Candidate,Party,Total Raised,Total Spent,In-State,Out-of-State,In-State %,Individual,PAC/Committee,Transfers
"COLLINS, SUSAN M.",REPUBLICAN,"$9,836,178","$1,919,696","$384,760","$9,451,419",4%,"$3,997,671","$536,550","$5,185,035"
"PLATNER, GRAHAM",DEMOCRATIC,"$2,707,617","$4,177,666","$503,843","$2,203,774",19%,"$2,647,507","$42,050",$0
"MILLS, JANET TRAFTON",DEMOCRATIC,"$1,852,991","$1,620,235","$644,461","$1,208,530",35%,"$1,671,992","$73,500","$107,499"
"KLEBAN, DAN",DEMOCRATIC,"$410,617","$494,548","$276,877","$133,740",67%,"$195,950",$0,$0
"RODRIGUEZ, DAIRA",DEMOCRATIC,"$247,287","$243,359",$250,"$247,037",0%,"$34,287",$0,$0
"COSTELLO, DAVID",DEMOCRATIC,"$88,890","$13,274","$84,390","$4,500",95%,"$5,960",$0,$0
"RENCH, PHILLIP",INDEPENDENT,"$54,436","$62,480","$50,987","$3,449",94%,"$3,568",$0,$0
"CALABRESE, CARMEM VINCENT MR.",REPUBLICAN,"$17,760","$21,260","$17,760",$0,100%,"$17,760",$0,$0
"FAVREAU, TUCKER",DEMOCRATIC,"$9,313","$9,626","$8,813",$500,95%,$643,$0,$0
"EVANS, DAVID ALAN",INDEPENDENT,"$5,832","$6,411",$0,"$5,832",0%,"$5,832",$0,$0
