"candidate_name","office","district","party","small_dollar_total"
"CALABRESE, CARMEM VINCENT MR.","Senate","00","REPUBLICAN PARTY",145.52
"COLLINS, SUSAN M.","Senate","00","REPUBLICAN PARTY",72614.26
"COSTELLO, DAVID","Senate","00","DEMOCRATIC PARTY",68.8
"DUNLAP, MATT","House","02","DEMOCRATIC PARTY",9161.52
"FAVREAU, TUCKER","Senate","00","DEMOCRATIC PARTY",265.03
"GOLDEN, JARED","House","02","DEMOCRATIC PARTY",42325.74
"KLEBAN, DAN","Senate","00","DEMOCRATIC PARTY",350
"LEPAGE, PAUL","House","02","REPUBLICAN PARTY",3628.12
"MILLS, JANET TRAFTON","Senate","00","DEMOCRATIC PARTY",253494.54
"PIETROWICZ, JOSHUA JAMES","House","01","REPUBLICAN PARTY",94.5
"PINGREE, CHELLIE M","House","01","DEMOCRATIC PARTY",11944
"PLATNER, GRAHAM","Senate","00","DEMOCRATIC PARTY",954428.28
"RENCH, PHILLIP","Senate","00","INDEPENDENT",5.43
"RODRIGUEZ, DAIRA","Senate","00","DEMOCRATIC PARTY",20
"RUSSELL, RONALD CHARLES MR.","House","01","REPUBLICAN PARTY",31.26
"WOOD, JORDAN","House","02","DEMOCRATIC PARTY",191236.71
