"filer_name","tot_con"
"ACTBLUE MAINE",3684421.8599999
"Save Maine Absentee Voting",2019925
"Mainers for a Safe and Healthy Future, Inc.",2e+06
"Hannah Pingree",1351551.29
"Shenna Bellows",1227893.5
"Voter ID for ME BQC",1076495
"Jonathan Bush",926861
"SENATE DEMOCRATIC CAMPAIGN COMMITTEE",914461.129999995
"Angus S. King, III",858719.69
"MAINE DEMOCRATIC STATE COMMITTEE",813579.38
"Safeguard Girls Sports",8e+05
"Troy Dale Jackson",724500.680000003
"Robert B. Charles",640479.13
"Richard Bennett",490095
"Safe Schools, Safe Communities",452874.83
"HOUSE DEMOCRATIC CAMPAIGN COMMITTEE",432317.86
"Nirav Shah",392527.76
"OWEN MCCARTHY",331862
"David John Jones",288840.83
"Maine Dream, Inc.",285850
"Maine Senate Republicans",284200
"Benjamin Midgley",267525
"DGA Maine - BQC",234899.1
"Common Sense for Maine",231629.32
"Maine Republican Party",189359.47
"MAINE ASSOCIATION OF REALTORS PAC",160763.74
"The House Republican Fund",154820
"DSCC Maine BQC Litigation",85268.79
"DCCC Maine – BQC",84899.09
"Laurel Libby",78817.6
"Dinner Table Action",71297
"Fecteau for Leadership",64085
"Maine Wins Together",55100
"Lincoln County Democratic Committee",53611
"Protect ME - No Red Flag",52938
"ENERGY PAC FOR MAINE",52600
"Baldacci-Alfond Golf PAC",51200
"Mattie for Maine",50700
"Food AND Medicine BQ Committee",50000
"MAINE TRUCK PAC",47612
"AGC Maine PAC",43220
"AVANGRID MAINE PAC",42944.32
"York County Republican Committee",41777.01
"Fight for Freedom",41502.91
"Faulkinghammer PAC",41250
"Association to Preserve and Protect Local Livelihoods",39325
"PAC to the Future",38100
"Cumberland County Republican Committee",37841
"HARDWORKING MAINE FAMILIES PAC INC.",35500
"MAINE BANKERS ASSOCIATION POLITICAL ACTION COMMITTEE",34054.94
"Disabled Voters Oppose Voter ID",30000
"Maine Future PAC",30000
"STILL FED UP WITH TAXES",28350
"MAINE EDUCATION ASSOCIATION PAC",27857.91
"Robert J. Wessels",27630.46
"Democrats of Kennebunk, Kennebunkport, and Arundel",27483.07
"Caring Homeowners Educating Falmouth",24217.64
"York-Ogunquit Democratic Committee",24193
"MAINE DENTAL PAC",24150
"Carolyn Fish",22985
"HANCOCK COUNTY REPUBLICAN COMMITTEE",22241.9
"Hickman Cultivating Leadership PAC",21695
"MAINE CREDIT UNION LEAGUE - LEGISLATIVE ACTION COMMITTEE",20498.99
"Mainers for Economic Opportunity",20011.33
"Community Action Alliance Committee",20000
"Maine Youth Power BQC",20000
"Somerset County Republican Committee",18874.9
"MAINE SOCIETY OF ANESTHESIOLOGIST PAC",18747.5
"HANCOCK COUNTY DEMOCRATIC COMMITTEE",18610
"REBUILD MAINE",18000
"Strong Maine Communities PAC",17710
"U.A. LOCAL #716 POLITICAL ACTION COMMITTEE",17635.15
"CapeVotersBQCII",17280
"Taking Care of Maine Business",16575
"GCSM BQC",16500
"Piscataquis Republican County Committee",16308.52
"Bangor Republican Committee",16270.16
"OXFORD COUNTY REPUBLICAN COMMITTEE",16234
"PLANNED PARENTHOOD MAINE ACTION FUND PAC",15957.52
"Dirigo Freedom Leadership PAC",15375
"CITIZENS FOR JUSTICE IN MAINE, INC.",15195
"ANDROSCOGGIN COUNTY REPUBLICAN COMMITTEE",14557.32
"Answering The Call",13850
"Lincoln County Republican Committee",13649.88
"Oxford County Democratic Committee",13517.02
"Sagadahoc County Democratic Committee",13232.67
"Win Back Maine",13150
"Protect Girls' Sports in Maine",13010
"Penobscot County Democratic Committee",12769
"Renew the American Dream",12700
"Libertarian Party of Maine (LPME)",12674.69
"James Delmas Libby",11535
"Building Solidarity Action Fund",11000
"IRONWORKERS LOCAL 7 PAC",10971.6
"WALDO COUNTY REPUBLICAN COMMITTEE",10724.22
"WASHINGTON COUNTY REPUBLICAN COMMITTEE",10559.65
"Maine Opportunity PAC",10450
"Franklin County Republican Committee",10392
"Protecting Falmouth Committee",10389.02
"Maine Young Democrats",9908.33
"Joel R Stetkis",9645.31
"Maine Heritage PAC",9600
"Piscataquis County Democratic Committee",9129.12
"On the Road to Maine's Future",9000
"MAINE UNITED AUTO WORKERS PAC COUNCIL",8627.98
"AROOSTOOK COUNTY REPUBLICAN COMMITTEE",8576
"John Andrews",8500
"Keep Maine Safe",8204
"Paul Titcomb Davis, Sr.",7820
"W. Edward Crockett",7750
"Maine Association of REALTORS Corporate PAC",7740
"MAINE ASSOCIATION OF NURSE ANESTHETIST",7620
"SOMERSET COUNTY DEMOCRATS",7608
"MAINE HEALTH CARE ASSOCIATION",7478
"Janet Beaudoin (Special)",7316
"Kiernan Innes Majerus-Collins",7140
"Revive Home Town Maine PAC",7069.38
"MAINE OPTOMETRIC ASSOCIATION PAC",7051
"Knox County Republican Committee",7033.65
"FRANKLIN COUNTY DEMOCRATIC COMMITTEE",6616.85
"IBEW LOCAL 2327 PAC",6504
"Waldo County Democratic Committee",6473.02
"Augusta Republican Committee",6098.41
"Maine Emergency Medicine Action Committee",5700
"MAINE PHYSICIAN ACTION FUND",5690
"Maine Renewable Energy Association PAC",5532.7
"Waldoboro Republican Town Committee",5486
"Dexter Republican Committee",5446
"Maine Issues & Action PAC",5425
"For Our Future",5336.77
"Grow Maine",5100
"A House United",5000
"Dirigo Leaders PAC",5000
"FRIENDS OF MAINE HOSPITALS",5000
"National Federation of Independent Business Maine Political Action Committee",5000
"Rebuild Maine's Future",5000
"Advancing Cape Elizabeth Schools",4984.47
"Alicia Collins",4844.06
"Scott A. Harriman (Special)",4751.73
"Knox County Democratic Committee",4747.6
"PENOBSCOT COUNTY REPUBLICAN COMMITTEE",4728.72
"KENNEBEC COUNTY DEMOCRATIC COMMITTEE",4704.36
