candidate_name,office,district,party,tot_exp
"PINGREE, CHELLIE M",House,01,DEMOCRATIC PARTY,358424.79
"RUSSELL, RONALD CHARLES MR.",House,01,REPUBLICAN PARTY,63615.84
"ROBERTS, TIFFANY DANIELLE",House,01,DEMOCRATIC PARTY,14980.51
"SMALL, ERIC",House,01,REPUBLICAN PARTY,12514.0
"PIETROWICZ, JOSHUA JAMES",House,01,REPUBLICAN PARTY,6715.58
"PIANTIDOSI, ANDREW",House,01,REPUBLICAN PARTY,0
"DUPREY, JOSHUA JAMES",House,01,REPUBLICAN PARTY,0.0
"WOOD, JORDAN",House,02,DEMOCRATIC PARTY,5284721.27
"GOLDEN, JARED",House,02,DEMOCRATIC PARTY,2246768.37
"DUNLAP, MATT",House,02,DEMOCRATIC PARTY,837993.4
"LEPAGE, PAUL",House,02,REPUBLICAN PARTY,727242.46
"BALDACCI, JOSEPH",House,02,DEMOCRATIC PARTY,402334.69
"LOUD, PAIGE",House,02,DEMOCRATIC PARTY,47102.11
"CLARK, JAMES L.",House,02,REPUBLICAN PARTY,0
"SIGEL, LOUIS MR.",House,02,DEMOCRATIC PARTY,0.0
"PLATNER, GRAHAM",Senate,00,DEMOCRATIC PARTY,14131390.66
"MILLS, JANET TRAFTON",Senate,00,DEMOCRATIC PARTY,5121374.64
"COLLINS, SUSAN M.",Senate,00,REPUBLICAN PARTY,5068440.33
"KLEBAN, DAN",Senate,00,DEMOCRATIC PARTY,458366.92
"RODRIGUEZ, DAIRA",Senate,00,DEMOCRATIC PARTY,242582.34
"COSTELLO, DAVID",Senate,00,DEMOCRATIC PARTY,107867.88
"RENCH, PHILLIP",Senate,00,INDEPENDENT,47452.0
"CALABRESE, CARMEN VINCENT MR.",Senate,00,REPUBLICAN PARTY,21259.71
"EVANS, DAVID ALAN",Senate,00,INDEPENDENT,6436.72
"FAVREAU, TUCKER",Senate,00,DEMOCRATIC PARTY,5076.27
"LAFLAMME, ANDREA",Senate,00,DEMOCRATIC PARTY,1928.92
"ALCALA, NATASHA",Senate,00,DEMOCRATIC PARTY,0.0
"ALCORN, ETHAN WELD MR",Senate,00,UNAFFILIATED,0.0
"RICH, TIMOTHY",Senate,00,UNAFFILIATED,0.0
"SMERIGLIO, DANIEL C",Senate,00,REPUBLICAN PARTY,0.0
